Pick,Player_ytd,Fantasy Team,Bid,FP/G,GP,$/FP/G,Value_Tier,FPG_Tier,Total_FP,FP_per_Dollar
1,Trae Young,9/11 Second Tower,50,54.93,15,0.9102494083378846,Fair Market,D (50-60),823.95,16.479
2,Nikola Jokic,PartyMarty__,190,112.55,65,1.6881386050644158,Severe Overpay,S (100+),7315.75,38.50394736842105
3,Luka Doncic,A Stupid Silly Cat,114,98.36,64,1.1590077267181782,Premium Price,A (80-100),6295.04,55.21964912280702
4,Victor Wembanyama,9/11 First Tower,111,88.48,64,1.2545207956600362,Premium Price,A (80-100),5662.72,51.0154954954955
5,Shai Gilgeous-Alexander,Daaaaaa Jankees lose,96,85.01,68,1.1292789083637218,Premium Price,A (80-100),5780.68,60.21541666666667
6,Giannis Antetokounmpo,CaitlinClark KeepsItHairy,94,82.94,36,1.1333494092114782,Premium Price,A (80-100),2985.84,31.764255319148937
7,LaMelo Ball,LAMELOcan Airlines Flight 11,39,65.57,72,0.5947842000915053,Good Value,C (60-70),4721.039999999999,121.05230769230766
8,Jalen Brunson,The Noto Son,45,66.14,74,0.6803749622013909,Good Value,C (60-70),4894.36,108.76355555555554
9,Anthony Edwards,The Noto Son,58,71.93,61,0.8063394967329347,Fair Market,B (70-80),4387.7300000000005,75.65051724137932
10,Alperen Sengun,President of Retarded Operations,65,71.64,72,0.9073143495254048,Fair Market,B (70-80),5158.08,79.35507692307692
11,Domantas Sabonis,Haliban’s Heroes,90,62.84,19,1.4322087842138764,Premium Price,C (60-70),1193.96,13.266222222222222
12,Scottie Barnes,I'm Your Uber Driver,50,69.0,80,0.7246376811594203,Fair Market,C (60-70),5520.0,110.4
13,James Harden,A Stupid Silly Cat,56,73.93,70,0.757473285540376,Fair Market,B (70-80),5175.1,92.41250000000001
14,Anthony Davis,9/11 First Tower,65,69.6,20,0.9339080459770116,Fair Market,C (60-70),1392.0,21.415384615384614
15,Kevin Durant,I'm Your Uber Driver,50,68.95,78,0.7251631617113851,Fair Market,C (60-70),5378.1,107.56200000000001
16,Stephen Curry,George W Bush,55,70.86,43,0.7761783799040362,Fair Market,B (70-80),3046.98,55.39963636363636
17,DeMar DeRozan,George W Bush,30,47.94,77,0.6257822277847309,Good Value,E (40-50),3691.3799999999997,123.04599999999999
18,Pascal Siakam,LAMELOcan Airlines Flight 11,40,61.42,62,0.6512536633018561,Good Value,C (60-70),3808.04,95.201
19,Rudy Gobert,CaitlinClark KeepsItHairy,37,57.18,76,0.6470793983910458,Good Value,D (50-60),4345.68,117.45081081081082
20,Zach LaVine,Kevin O’Leary,26,45.05,39,0.5771365149833518,Good Value,E (40-50),1756.9499999999998,67.57499999999999
21,Amen Thompson,Jesus Christ,40,66.05,79,0.6056018168054504,Good Value,C (60-70),5217.95,130.44875
22,Devin Booker,CaitlinClark KeepsItHairy,53,61.88,64,0.8564964447317388,Fair Market,C (60-70),3960.32,74.72301886792454
23,Cade Cunningham,LAMELOcan Airlines Flight 11,59,80.48,64,0.7331013916500994,Fair Market,A (80-100),5150.72,87.30033898305085
24,Joel Embiid,A Stupid Silly Cat,22,70.13,38,0.3137031227719949,Strong Value,B (70-80),2664.9399999999996,121.13363636363634
25,LeBron James,Kevin O’Leary,53,68.52,60,0.7734967892586107,Fair Market,C (60-70),4111.2,77.56981132075471
26,De'Aaron Fox,The Pentagon,39,57.62,72,0.6768483165567512,Good Value,D (50-60),4148.639999999999,106.3753846153846
27,Josh Giddey,Haliban’s Heroes,46,71.85,54,0.640222686151705,Good Value,B (70-80),3879.8999999999996,84.34565217391304
28,Tyrese Maxey,Kevin O’Leary,45,80.11,70,0.5617276245162901,Good Value,A (80-100),5607.7,124.61555555555555
29,Ja Morant,Kevin O’Leary,29,53.85,20,0.5385329619312906,Good Value,D (50-60),1077.0,37.13793103448276
30,Donovan Mitchell,The Pentagon,41,74.89,70,0.5474696221124316,Good Value,B (70-80),5242.3,127.8609756097561
31,Josh Hart,9/11 Second Tower,24,54.23,66,0.4425594689286373,Strong Value,D (50-60),3579.18,149.1325
32,Bam Adebayo,The Noto Son,44,66.58,73,0.6608591168519075,Good Value,C (60-70),4860.34,110.46227272727273
33,Paolo Banchero,President of Retarded Operations,38,63.68,72,0.5967336683417086,Good Value,C (60-70),4584.96,120.65684210526315
34,Nikola Vucevic,9/11 Second Tower,36,55.56,64,0.6479481641468682,Good Value,D (50-60),3555.84,98.77333333333334
35,Desmond Bane,I'm Your Uber Driver,25,56.09,82,0.44571224817257976,Strong Value,D (50-60),4599.38,183.9752
36,Kristaps Porzingis,George W Bush,25,49.12,32,0.508957654723127,Good Value,E (40-50),1571.84,62.873599999999996
37,Jalen Johnson,Jesus Christ,40,81.75,72,0.4892966360856269,Strong Value,A (80-100),5886.0,147.15
38,Jamal Murray,Daaaaaa Jankees lose,40,75.04,75,0.5330490405117271,Good Value,B (70-80),5628.000000000001,140.70000000000002
39,Lauri Markkanen,Kamala's Gunz,20,68.57,42,0.29167274318214964,Steal,C (60-70),2879.9399999999996,143.99699999999999
40,Chet Holmgren,Daaaaaa Jankees lose,36,61.59,69,0.5845104724792985,Good Value,C (60-70),4249.71,118.0475
41,Jalen Williams,9/11 Second Tower,36,52.42,33,0.686760778328882,Good Value,D (50-60),1729.8600000000001,48.05166666666667
42,Zion Williamson,Haliban’s Heroes,39,56.66,62,0.6883162725026474,Good Value,D (50-60),3512.9199999999996,90.07487179487178
43,Austin Reaves,Jesus Christ,26,66.29,51,0.39221602051591486,Strong Value,C (60-70),3380.7900000000004,130.03038461538463
44,Dyson Daniels,Kamala's Gunz,21,58.32,76,0.36008230452674894,Strong Value,D (50-60),4432.32,211.06285714285713
45,Karl-Anthony Towns,The Pentagon,46,70.89,75,0.648892650585414,Good Value,B (70-80),5316.75,115.58152173913044
46,Jarrett Allen,9/11 Second Tower,24,55.3,56,0.433996383363472,Strong Value,D (50-60),3096.7999999999997,129.03333333333333
47,Kawhi Leonard,The Pentagon,21,77.6,65,0.27061855670103097,Steal,B (70-80),5044.0,240.1904761904762
48,Mikal Bridges,9/11 First Tower,12,50.83,82,0.23608105449537675,Steal,D (50-60),4168.0599999999995,347.3383333333333
49,Jimmy Butler,George W Bush,21,64.21,38,0.32705186108082857,Strong Value,C (60-70),2439.9799999999996,116.18952380952379
50,Julius Randle,President of Retarded Operations,20,62.11,79,0.32200933827080985,Strong Value,C (60-70),4906.69,245.3345
51,Tobias Harris,Kamala's Gunz,10,42.49,63,0.2353494939985879,Steal,E (40-50),2676.8700000000003,267.687
52,Jordan Poole,Kevin O’Leary,4,34.1,39,0.11730205278592375,Steal,F (<40),1329.9,332.475
53,Evan Mobley,The Noto Son,45,65.8,65,0.6838905775075989,Good Value,C (60-70),4277.0,95.04444444444445
54,Jaylen Brown,George W Bush,28,69.34,71,0.4038073262186328,Strong Value,C (60-70),4923.14,175.82642857142858
55,Trey Murphy,Jesus Christ,22,65.74,66,0.33465165804685126,Strong Value,C (60-70),4338.839999999999,197.21999999999997
56,Franz Wagner,LAMELOcan Airlines Flight 11,21,54.03,34,0.3886729594669628,Strong Value,D (50-60),1837.02,87.47714285714285
57,Payton Pritchard,Jesus Christ,17,53.77,79,0.3161614283057467,Strong Value,D (50-60),4247.83,249.87235294117647
58,Kyrie Irving,The Pentagon,2,0.0,0,,Unknown,F (<40),0.0,0.0
59,Bobby Portis,President of Retarded Operations,6,42.85,67,0.14002333722287047,Steal,E (40-50),2870.9500000000003,478.49166666666673
60,Gary Trent,Daaaaaa Jankees lose,2,20.37,65,0.09818360333824251,Steal,F (<40),1324.05,662.025
61,Ivica Zubac,Kamala's Gunz,24,54.42,48,0.4410143329658214,Strong Value,D (50-60),2612.16,108.83999999999999
62,Deandre Ayton,Kamala's Gunz,17,45.78,72,0.37134119702927043,Strong Value,E (40-50),3296.16,193.89176470588234
63,Derrick White,George W Bush,26,57.75,77,0.45021645021645024,Strong Value,D (50-60),4446.75,171.02884615384616
64,Tyler Herro,Kevin O’Leary,19,55.55,33,0.3420342034203421,Strong Value,D (50-60),1833.1499999999999,96.48157894736842
65,Anfernee Simons,President of Retarded Operations,7,37.0,55,0.1891891891891892,Steal,F (<40),2035.0,290.7142857142857
66,Cooper Flagg,President of Retarded Operations,16,61.1,70,0.2618657937806874,Steal,C (60-70),4277.0,267.3125
67,Kelly Oubre Jr.,9/11 First Tower,1,44.44,50,0.022502250225022502,Steal,E (40-50),2222.0,2222.0
68,Michael Porter,George W Bush,17,66.21,52,0.25675879776468813,Steal,C (60-70),3442.9199999999996,202.52470588235292
69,Myles Turner,President of Retarded Operations,18,43.85,71,0.4104903078677309,Strong Value,E (40-50),3113.35,172.96388888888887
70,Egor Demin,CaitlinClark KeepsItHairy,8,36.71,52,0.2179242713157178,Steal,F (<40),1908.92,238.615
71,Brandon Ingram,Kevin O’Leary,18,55.43,77,0.32473389861086055,Strong Value,D (50-60),4268.11,237.1172222222222
72,Immanuel Quickley,Haliban’s Heroes,14,57.66,70,0.2428026361429067,Steal,D (50-60),4036.2,288.3
73,Jalen Green,Kamala's Gunz,13,41.94,32,0.3099666189794945,Strong Value,E (40-50),1342.08,103.23692307692308
74,Paul George,The Pentagon,4,56.95,37,0.07023705004389816,Steal,D (50-60),2107.15,526.7875
75,Jaren Jackson,Jesus Christ,26,53.5,48,0.48598130841121495,Strong Value,D (50-60),2568.0,98.76923076923077
76,Christian Braun,President of Retarded Operations,7,40.23,44,0.17399950285856328,Steal,E (40-50),1770.12,252.8742857142857
77,Brandon Miller,Kamala's Gunz,15,55.46,65,0.27046520014424813,Steal,D (50-60),3604.9,240.32666666666668
78,Naz Reid,Haliban’s Heroes,5,46.92,77,0.10656436487638533,Steal,E (40-50),3612.84,722.568
79,Jalen Duren,The Pentagon,27,66.2,70,0.4078549848942598,Strong Value,C (60-70),4634.0,171.62962962962962
80,Deni Avdija,Daaaaaa Jankees lose,19,70.42,66,0.2698097131496734,Steal,B (70-80),4647.72,244.61684210526317
81,RJ Barrett,9/11 Second Tower,12,50.93,57,0.2356175142352248,Steal,D (50-60),2903.0099999999998,241.9175
82,Ben Simmons,A Stupid Silly Cat,1,0.0,0,,Unknown,F (<40),0.0,0.0
83,Aaron Gordon,9/11 First Tower,3,48.72,36,0.06157635467980296,Steal,E (40-50),1753.92,584.64
84,Draymond Green,George W Bush,3,42.01,68,0.07141156867412521,Steal,E (40-50),2856.68,952.2266666666666
85,CJ McCollum,9/11 Second Tower,5,50.11,76,0.09978048293753741,Steal,D (50-60),3808.36,761.672
86,Coby White,Kamala's Gunz,15,44.44,50,0.33753375337533753,Strong Value,E (40-50),2222.0,148.13333333333333
87,Devin Vassell,9/11 First Tower,4,43.16,67,0.09267840593141799,Steal,E (40-50),2891.72,722.93
88,Jakob Poeltl,Kamala's Gunz,11,45.26,46,0.24304021210782148,Steal,E (40-50),2081.96,189.26909090909092
89,Cameron Johnson,A Stupid Silly Cat,2,40.94,54,0.04885197850512946,Steal,E (40-50),2210.7599999999998,1105.3799999999999
90,Jrue Holiday,9/11 Second Tower,3,55.94,53,0.053628888094386845,Steal,D (50-60),2964.8199999999997,988.2733333333332
91,Bradley Beal,Kevin O’Leary,3,16.5,6,0.18181818181818182,Steal,F (<40),99.0,33.0
92,Shaedon Sharpe,Kamala's Gunz,15,48.0,50,0.3125,Strong Value,E (40-50),2400.0,160.0
93,Kel'el Ware,Jesus Christ,8,49.06,77,0.16306563391765186,Steal,E (40-50),3777.6200000000003,472.20250000000004
94,Walker Kessler,The Pentagon,12,72.8,5,0.16483516483516483,Steal,B (70-80),364.0,30.333333333333332
