Player ID,Pick,Pos,Player,Team,Bid,Fantasy Team,Time (EDT)
*031m2*,1,F,Giannis Antetokounmpo,MIL,71,The Retirement Home,2024-10-18 7:10
*06cch*,2,C,Victor Wembanyama,SA,91,The Retirement Home,2024-10-18 7:11
*03xmv*,3,F,Jayson Tatum,BOS,60,Rudy Homo,2024-10-18 7:14
*051oh*,4,F,Zion Williamson,NO,37,P Diddy's Slip & Slide,2024-10-18 7:16
*03e75*,5,C,Nikola Jokic,DEN,101,Diddled By Diddy,2024-10-18 7:17
*05uig*,6,G,Josh Giddey,CHI,19,15 Dream Team,2024-10-18 7:18
*04kj6*,7,G,Luka Doncic,LAL,94,Weinstein Wranglers,2024-10-18 7:19
*001aw*,8,F,Kevin Durant,PHO,48,P Diddy's Slip & Slide,2024-10-18 7:21
*01enh*,9,G,Stephen Curry,GS,49,Kamala's Gunz,2024-10-18 7:22
*051ot*,10,G,Tyler Herro,MIA,18,The Retirement Home,2024-10-18 7:23
*042n7*,11,C,Domantas Sabonis,SAC,83,President of Retarded Operations,2024-10-18 7:24
*027oo*,12,C,Jonas Valanciunas,SAC,29,Weinstein Wranglers,2024-10-18 7:24
*04qrk*,13,G,Trae Young,ATL,48,Stevens Underaged Experience,2024-10-18 7:26
*04qro*,14,G,Shai Gilgeous-Alexander,OKC,92,Give me the fentanyl,2024-10-18 7:28
*027oz*,15,F,Kawhi Leonard,LAC,40,Rudy Homo,2024-10-18 7:29
*03al2*,16,C,Joel Embiid,PHI,57,Epstein Experience,2024-10-18 7:30
*05uie*,17,F,Scottie Barnes,TOR,48,Kamala's Gunz,2024-10-18 7:32
*03ad3*,18,C,Karl-Anthony Towns,NY,34,P Diddy's Slip & Slide,2024-10-18 7:33
*027oj*,19,G,Kyrie Irving,DAL,36,Shaq's Anus Ripples,2024-10-18 7:35
*02nf6*,20,G,Damian Lillard,MIL,38,P Diddy's Slip & Slide,2024-10-18 7:36
*04ewe*,21,G,Donovan Mitchell,CLE,43,President of Retarded Operations,2024-10-18 7:38
*042nm*,22,F,Pascal Siakam,IND,31,Give me the fentanyl,2024-10-18 7:40
*051oi*,23,G,Ja Morant,MEM,32,Shaq's Anus Ripples,2024-10-18 7:42
