"ID","Player","Team","Position","Status","Roster Status","Opponent","FPts","FP/G","Ros","+/-","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*03e75*","Nikola Jokic","DEN","C,Flx","DBD","Active","","1871","124.73","100%","0%","8.7","2.2","1.1","29.6","4.1","13.2","10.7","1.5","0.9","3.7","0.00","0.00","0.5","13"
"*01eo6*","James Harden","LAC","G,Flx","Sar","Active","","1713","77.86","100%","0%","10.2","2.9","0.8","22.3","0.6","7.2","8.9","1.7","0.7","4.4","0.00","0.00","0.0","12"
"*02nf1*","Anthony Davis","LAL","F,C,Flx","420","Active","@MIN Mon 8:00PM","1689","88.89","100%","0%","8.3","0.8","2.1","28.6","2.6","11.5","3.2","1.3","2.0","1.9","0.00","0.00","0.0","13"
"*04qro*","Shai Gilgeous-Alexander","OKC","G,Flx","Fent","Active","","1680","84","100%","0%","10.3","2.1","1.2","29.9","0.9","5.5","6.5","1.7","1.1","2.8","0.00","0.00","0.0","2"
"*03xmv*","Jayson Tatum","BOS","F,Flx","ROMO","Active","MIA Mon 7:30PM","1674","83.7","100%","0%","10.8","4.0","1.6","28.9","0.5","8.5","5.7","1.4","0.6","2.8","0.20","0.00","0.0","8"
"*031m2*","Giannis Antetokounmpo","MIL","F,C,Flx","TRH","Active","","1666","98","100%","0%","8.5","0.2","4.1","32.9","2.1","11.9","6.6","0.5","1.4","3.3","0.00","0.00","0.2","15"
"*042n7*","Domantas Sabonis","SAC","F,C,Flx","PRO","Active","","1633","85.95","100%","0%","4.8","1.1","0.8","20.7","3.3","12.9","6.4","0.8","0.5","3.6","0.00","0.00","0.2","18"
"*0011e*","LeBron James","LAL","F,Flx","15","Active","@MIN Mon 8:00PM","1617","80.85","99%","0%","8.8","2.0","1.1","22.6","0.8","8.1","9.3","0.7","0.5","4.0","0.05","0.00","0.3","12"
"*03ad3*","Karl-Anthony Towns","NY","F,C,Flx","BabyOil","Active","","1582","83.26","100%","0%","7.9","2.4","0.8","25.2","2.9","13.0","3.2","0.8","0.8","2.2","0.00","0.00","0.0","17"
"*05uiq*","Alperen Sengun","HOU","C,Flx","J&J","Active","","1525","72.62","100%","0%","8.0","0.4","1.2","18.8","3.5","10.9","5.3","1.1","1.2","2.1","0.05","0.00","0.1","15"
"*06cch*","Victor Wembanyama","SA","F,C,Flx","TRH","Active","","1518","89.29","100%","0%","9.4","3.2","0.5","24.0","2.1","10.2","3.6","1.3","3.5","3.6","0.06","0.00","0.1","7"
"*05uii*","Franz Wagner","ORL","G,F,Flx","MylS","Active","","1513","68.77","100%","0%","9.9","2.1","0.7","23.4","1.0","5.7","5.9","1.8","0.5","2.3","0.05","0.00","0.0","2"
"*027p0*","Nikola Vucevic","CHI","C,Flx","MylS","Active","BKN Mon 8:00PM","1502","71.52","100%","0%","6.1","2.2","0.4","20.9","2.0","10.0","3.2","0.7","0.9","1.8","0.00","0.00","0.0","14"
"*05uiu*","Jalen Johnson","ATL","F,Flx","J&J","Active","NO Mon 7:30PM","1471","73.55","100%","0%","7.8","1.8","0.8","20.1","1.8","9.9","5.5","1.4","1.1","3.2","0.05","0.00","0.1","10"
"*049kb*","De'Aaron Fox","SAC","G,Flx","TRUMP","Active","","1450","69.05","100%","0%","10.3","2.1","1.3","27.5","1.0","5.0","5.9","1.6","0.1","3.6","0.10","0.00","0.0","4"
"*04qrk*","Trae Young","ATL","G,Flx","Tribunal","Active","NO Mon 7:30PM","1433","71.65","100%","0%","9.9","2.7","0.7","21.4","0.7","3.6","12.1","1.3","0.1","4.8","0.05","0.00","0.0","14"
"*0621b*","Jalen Williams","OKC","G,F,C,Flx","J&J","Active","","1427","71.35","100%","0%","8.3","2.0","0.7","21.5","0.9","6.3","5.2","2.1","0.9","2.3","0.05","0.00","0.0","2"
"*05qto*","LaMelo Ball","CHA","G,Flx","EE","Inj Res","","1386","77","100%","0%","14.2","4.7","0.9","31.1","0.9","5.4","6.9","1.1","0.2","4.5","0.00","0.00","0.0","4"
"*05uib*","Cade Cunningham","DET","G,Flx","EE","Active","","1366","75.89","100%","0%","11.1","2.3","0.8","23.5","1.1","7.2","9.0","0.9","0.8","4.7","0.17","0.00","0.2","10"
"*027oj*","Kyrie Irving","DAL","G,Flx","Sar","Active","","1352","71.16","100%","0%","9.1","3.2","0.4","24.8","1.2","4.8","5.6","1.2","0.2","2.1","0.00","0.00","0.0","0"
"*04qsa*","Jalen Brunson","NY","G,Flx","Tribunal","Active","","1349","67.45","100%","0%","9.2","2.5","1.0","25.4","0.5","3.0","7.8","0.7","0.1","2.3","0.05","0.00","0.0","5"
"*042n6*","Jakob Poeltl","TOR","C,Flx","15","Active","","1340","63.81","99%","0%","4.8","0.0","1.3","16.0","4.3","11.9","2.4","1.1","1.3","2.2","0.00","0.00","0.0","12"
"*05qtv*","Tyrese Haliburton","IND","G,Flx","15","Active","","1330","63.33","100%","0%","8.5","2.9","0.4","17.0","0.8","3.4","8.6","1.3","0.5","1.9","0.05","0.00","0.0","8"
"*05qug*","Anthony Edwards","MIN","G,F,Flx","TRUMP","Active","LAL Mon 8:00PM","1325","69.74","100%","0%","11.6","4.7","0.9","27.7","0.7","5.4","3.7","1.3","0.6","3.0","0.21","0.00","0.0","1"
"*042nt*","Ivica Zubac","LAC","C,Flx","Sar","Active","","1321","60.05","99%","0%","4.4","0.0","1.4","15.3","4.0","12.4","2.5","0.6","1.0","2.2","0.00","0.00","0.0","14"
"*04ewe*","Donovan Mitchell","CLE","G,Flx","PRO","Active","","1313","65.65","100%","0%","10.4","3.7","0.8","24.6","0.6","4.8","4.0","1.5","0.3","2.0","0.00","0.00","0.0","2"
"*04ewu*","Josh Hart","NY","G,F,Flx","EE","Active","","1282","64.1","98%","0%","3.8","1.3","0.3","13.8","1.8","8.3","5.5","1.4","0.4","1.8","0.10","0.00","0.1","7"
"*042nm*","Pascal Siakam","IND","F,C,Flx","Fent","Active","","1278","60.86","99%","0%","6.9","1.8","0.7","20.8","1.8","6.4","4.0","0.8","0.2","1.5","0.05","0.00","0.0","2"
"*03nwm*","Devin Booker","PHO","G,F,Flx","Sar","Active","","1268","66.74","99%","-0.1%","10.1","2.6","0.7","24.7","1.2","3.5","6.6","1.0","0.4","2.1","0.11","0.00","0.0","3"
"*05uid*","Evan Mobley","CLE","F,C,Flx","J&J","Active","","1261","63.05","100%","0%","5.8","0.6","0.7","17.7","2.3","9.3","2.8","1.1","1.6","2.3","0.00","0.00","0.0","9"
"*051ol*","Darius Garland","CLE","G,Flx","420","Active","","1254","62.7","99%","-0.2%","7.7","3.0","0.1","20.8","0.6","2.5","6.9","1.1","0.3","2.4","0.10","0.00","0.0","3"
"*04ewm*","Jarrett Allen","CLE","C,Flx","ROMO","Reserve","","1229","58.52","100%","0%","2.5","0.0","1.0","14.2","2.3","10.7","1.6","0.9","1.0","1.0","0.00","0.00","0.0","14"
"*04kj6*","Luka Doncic","DAL","G,Flx","MylS","Active","","1223","81.53","100%","0%","12.5","3.3","1.5","28.6","0.5","7.6","8.0","1.7","0.3","3.3","0.27","0.00","0.0","5"
"*04ewt*","Derrick White","BOS","G,Flx","BabyOil","Active","MIA Mon 7:30PM","1216","64","100%","0%","7.0","3.8","0.3","18.3","1.2","4.7","4.4","0.8","1.1","1.4","0.00","0.00","0.0","0"
"*04qrj*","Jaren Jackson","MEM","F,C,Flx","TRUMP","Active","","1195","62.89","100%","0%","7.4","1.8","1.0","22.4","1.5","5.9","1.2","1.4","1.8","2.2","0.00","0.00","0.0","0"
"*051ot*","Tyler Herro","MIA","G,Flx","TRH","Active","@BOS Mon 7:30PM","1192","66.22","99%","0%","9.2","4.2","0.5","24.0","0.3","5.2","4.9","0.8","0.1","2.4","0.06","0.00","0.0","2"
"*02nf6*","Damian Lillard","MIL","G,Flx","BabyOil","Active","","1191","74.44","99%","0%","10.1","3.3","0.6","25.9","0.6","4.5","7.8","1.0","0.3","2.8","0.06","0.00","0.0","5"
"*04ewf*","Bam Adebayo","MIA","C,Flx","PRO","Active","@BOS Mon 7:30PM","1166","64.78","100%","0%","7.9","0.9","1.2","15.7","2.8","9.9","4.9","1.7","0.8","1.8","0.00","0.00","0.1","10"
"*051or*","Cameron Johnson","BKN","F,Flx","PRO","Active","@CHI Mon 8:00PM","1160","55.24","97%","0%","6.3","3.1","0.3","18.1","0.8","4.2","3.0","0.8","0.4","0.8","0.00","0.00","0.0","0"
"*04ewk*","John Collins","UTA","F,C,Flx","TRUMP","Active","","1134","59.68","99%","+0.1%","6.0","1.1","0.3","17.9","2.6","8.8","2.5","1.3","0.8","2.5","0.05","0.00","0.0","7"
"*04848*","Fred VanVleet","HOU","G,Flx","420","Active","","1131","56.55","99%","0%","8.6","2.5","0.5","16.3","0.6","4.3","6.2","1.6","0.4","1.3","0.05","0.05","0.0","3"
"*051oj*","RJ Barrett","TOR","G,F,Flx","J&J","Active","","1130","62.78","99%","-0.1%","10.3","2.1","1.9","23.7","0.9","6.3","6.2","0.8","0.3","3.4","0.06","0.00","0.1","4"
