"ID","Player","Team","Position","Status","Roster Status","Opponent","FPts","FP/G","Ros","+/-","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*03e75*","Nikola Jokic","DEN","C,Flx","DBD","Active","BKN Fri 9:00PM","1370","114.17","100%","0%","9.9","2.4","1.2","30.3","2.6","12.2","9.0","1.6","0.4","2.5","0.00","0.00","0.4","8"
"*06cch*","Victor Wembanyama","SA","F,C,Flx","TRH","Active","","1306","100.46","100%","0%","10.6","3.5","0.6","27.4","1.5","11.4","3.9","0.8","4.8","3.6","0.00","0.00","0.0","7"
"*04qro*","Shai Gilgeous-Alexander","OKC","G,Flx","Fent","Active","@NY Fri 7:30PM","1159","96.58","100%","0%","10.4","2.2","0.3","33.4","0.9","5.9","5.6","2.6","1.5","2.8","0.00","0.00","0.0","1"
"*03ad3*","Karl-Anthony Towns","NY","F,C,Flx","BabyOil","Active","OKC Fri 7:30PM","1086","90.5","100%","0%","6.4","1.9","1.1","26.2","3.3","14.8","3.6","1.1","0.6","2.8","0.00","0.00","0.0","10"
"*05qtv*","Tyrese Haliburton","IND","G,Flx","15","Active","GS Fri 7:00PM","1037","79.77","100%","0%","7.3","3.3","0.5","20.1","0.6","4.3","9.8","1.2","0.6","1.4","0.00","0.00","0.0","6"
"*05uib*","Cade Cunningham","DET","G,Flx","EE","Active","","981","75.46","100%","0%","11.0","2.3","0.9","24.8","0.6","5.5","9.2","1.0","0.8","3.7","0.08","0.00","0.1","4"
"*042n7*","Domantas Sabonis","SAC","F,C,Flx","PRO","Active","@BOS Fri 7:30PM","979","89","100%","0%","7.2","1.1","1.1","20.2","5.0","16.0","6.5","0.8","0.6","2.1","0.09","0.00","0.1","11"
"*05qsq*","Tyrese Maxey","PHI","G,Flx","Sar","Active","NO Fri 7:00PM","961","73.92","100%","0%","11.5","3.8","1.2","27.0","0.2","2.9","6.2","2.2","0.5","3.0","0.00","0.00","0.0","3"
"*001aw*","Kevin Durant","PHO","F,Flx","BabyOil","Active","","961","73.92","99%","-0.1%","9.8","1.9","1.0","28.6","0.7","6.0","5.0","0.8","1.2","3.3","0.00","0.00","0.0","2"
"*03xmv*","Jayson Tatum","BOS","F,Flx","ROMO","Active","SAC Fri 7:30PM","951","86.45","100%","0%","10.5","3.7","1.1","28.1","0.8","10.0","4.9","1.5","0.4","2.5","0.09","0.00","0.1","6"
"*04qrj*","Jaren Jackson","MEM","F,C,Flx","J&J","Active","","894","68.77","100%","0%","9.9","1.7","1.7","23.9","1.8","7.5","3.5","1.7","1.5","2.6","0.08","0.00","0.0","3"
"*04qrk*","Trae Young","ATL","G,Flx","Tribunal","Active","","893","81.18","100%","0%","9.5","3.5","1.5","26.1","0.3","2.4","11.8","1.1","0.4","3.6","0.18","0.00","0.0","7"
"*02nf1*","Anthony Davis","LAL","F,C,Flx","420","Active","","885","80.45","100%","0%","8.4","0.7","1.7","22.4","2.9","13.2","3.5","1.3","2.5","2.9","0.09","0.00","0.0","10"
"*042n4*","Jamal Murray","DEN","G,Flx","15","Active","BKN Fri 9:00PM","878","67.54","99%","+0.1%","9.5","2.4","0.2","21.6","0.5","4.3","6.3","1.9","0.8","2.6","0.00","0.00","0.0","3"
