"ID","Player","Team","Position","RkOv","Status","Roster Status","Opponent","FPts","FP/G","Ros","+/-","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*03e75*","Nikola Jokic","DEN","C,Flx","1","DBD","Active","MIN Wed 10:00PM","7196","121.97","100%","0%","8.1","1.9","1.1","28.9","2.9","13.0","10.5","1.8","0.7","3.3","0.02","0.00","0.5","51"
"*04qro*","Shai Gilgeous-Alexander","OKC","G,Flx","2","Fent","Active","@BOS Wed 7:30PM","5639","89.51","100%","0%","10.2","2.2","0.9","32.7","0.9","5.1","6.2","1.8","1.1","2.5","0.02","0.00","0.0","5"
"*0011e*","LeBron James","LAL","F,Flx","3","15","Reserve","","4869","83.95","98%","-1.4%","8.9","2.3","1.1","25.0","1.0","8.2","8.5","0.9","0.6","3.9","0.02","0.00","0.2","30"
"*03xmv*","Jayson Tatum","BOS","F,Flx","4","ROMO","Reserve","OKC Wed 7:30PM","4774","79.57","100%","0%","11.1","3.6","1.2","27.1","0.7","8.8","5.8","1.1","0.5","2.9","0.15","0.00","0.0","29"
"*031m2*","Giannis Antetokounmpo","MIL","F,C,Flx","5","TRH","Active","","4753","91.4","100%","0%","8.0","0.2","4.1","30.7","2.3","12.1","5.9","0.8","1.2","3.3","0.00","0.00","0.1","44"
"*05uib*","Cade Cunningham","DET","G,Flx","6","EE","Active","","4723","77.43","100%","0%","11.0","2.2","0.7","25.7","0.8","6.1","9.3","1.0","0.7","4.5","0.11","0.00","0.1","28"
"*042n7*","Domantas Sabonis","SAC","F,C,Flx","7","PRO","Inj Res","","4653","83.09","100%","-0.1%","5.2","1.0","1.1","19.5","3.9","14.1","6.2","0.6","0.4","3.0","0.02","0.00","0.1","50"
"*03ad3*","Karl-Anthony Towns","NY","F,C,Flx","8","BabyOil","Active","@POR Wed 10:00PM","4551","79.84","99%","-0.1%","8.0","2.1","0.9","24.2","3.0","13.3","3.1","1.0","0.7","2.6","0.04","0.00","0.0","46"
"*01eo6*","James Harden","LAC","G,Flx","9","Sar","Active","@MIA Wed 8:00PM","4521","72.92","100%","0%","10.0","3.0","0.9","22.3","0.6","5.8","8.7","1.5","0.6","4.5","0.02","0.00","0.0","30"
"*05qug*","Anthony Edwards","MIN","G,F,Flx","10","TRUMP","Active","@DEN Wed 10:00PM","4363","69.25","100%","0%","11.4","4.1","1.0","27.2","0.8","6.0","4.6","1.1","0.6","3.3","0.25","0.02","0.0","6"
