"ID","Player","Team","Position","Status","Roster Status","Opponent","FPts","FP/G","Ros","+/-","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*03e75*","Nikola Jokic","DEN","C,Flx","DBD","Active","POR Mon 9:00PM","3371","120.39","100%","0%","7.5","2.0","1.0","27.8","2.4","12.0","10.4","1.8","0.6","2.6","0.04","0.00","0.5","23"
"*04qro*","Shai Gilgeous-Alexander","OKC","G,Flx","Fent","Active","NO Mon 8:00PM","2407","92.58","100%","0%","10.3","1.9","0.7","34.9","1.0","4.9","5.8","2.0","1.1","2.6","0.04","0.00","0.0","2"
"*05qsq*","Tyrese Maxey","PHI","G,Flx","Sar","Active","","2338","80.62","100%","0%","11.6","3.7","0.8","30.2","0.3","3.3","6.7","1.9","0.4","2.8","0.00","0.00","0.0","6"
"*06cch*","Victor Wembanyama","SA","F,C,Flx","TRH","Active","@WAS Mon 7:00PM","2334","93.36","100%","0%","10.1","3.1","0.8","24.8","1.5","11.2","3.6","1.1","4.3","3.1","0.00","0.00","0.0","17"
"*042n7*","Domantas Sabonis","SAC","F,C,Flx","PRO","Active","@DAL Mon 8:30PM","2172","86.88","100%","0%","5.9","1.2","1.3","19.8","4.6","15.5","6.4","0.5","0.4","2.8","0.04","0.00","0.2","24"
"*03xmv*","Jayson Tatum","BOS","F,Flx","ROMO","Active","@MIA Mon 7:30PM","2052","76","100%","0%","10.7","3.4","1.1","25.7","0.7","8.4","5.5","1.2","0.5","2.9","0.07","0.00","0.0","11"
"*05uib*","Cade Cunningham","DET","G,Flx","EE","Active","","2029","78.04","100%","0%","12.2","2.1","0.6","27.0","0.7","5.6","9.7","1.1","0.7","4.3","0.12","0.00","0.1","11"
"*0011e*","LeBron James","LAL","F,Flx","15","Active","UTA Mon 10:30PM","1985","86.3","99%","0%","8.7","2.3","1.0","25.9","0.8","7.6","9.0","1.0","0.5","3.5","0.00","0.00","0.1","11"
"*05qug*","Anthony Edwards","MIN","G,F,Flx","TRUMP","Active","@CLE Mon 7:00PM","1978","70.64","100%","0%","11.6","3.9","0.9","27.9","1.0","6.1","4.9","0.9","0.8","3.7","0.21","0.00","0.0","2"
"*001aw*","Kevin Durant","PHO","F,Flx","BabyOil","Active","","1902","73.15","99%","-0.2%","9.3","2.2","1.0","27.5","0.5","5.8","4.7","1.0","1.3","2.9","0.04","0.00","0.0","2"
"*03ad3*","Karl-Anthony Towns","NY","F,C,Flx","BabyOil","Active","","1874","78.08","100%","0%","7.5","1.6","0.9","23.2","3.3","13.5","3.3","1.0","0.6","2.6","0.04","0.00","0.0","18"
