"ID","Player","Team","Position","RkOv","Status","Roster Status","Opponent","FPts","FP/G","Ros","+/-","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*03e75*","Nikola Jokic","DEN","C,Flx","1","DBD","Active","","6778","121.04","100%","0%","8.1","1.9","1.1","28.8","2.9","12.8","10.4","1.8","0.6","3.3","0.02","0.00","0.5","48"
"*04qro*","Shai Gilgeous-Alexander","OKC","G,Flx","2","Fent","Active","","5457","89.46","100%","0%","10.2","2.1","0.9","32.8","0.9","5.1","6.2","1.8","1.0","2.6","0.02","0.00","0.0","5"
"*0011e*","LeBron James","LAL","F,Flx","3","15","Active","NY Thu 10:00PM","4702","83.96","99%","-0.1%","8.8","2.3","1.0","24.9","1.0","8.0","8.5","0.9","0.6","4.0","0.02","0.00","0.2","28"
"*042n7*","Domantas Sabonis","SAC","F,C,Flx","4","PRO","Inj Res","","4653","83.09","100%","-0.2%","5.2","1.0","1.1","19.5","3.9","14.1","6.2","0.6","0.4","3.0","0.02","0.00","0.1","50"
"*03xmv*","Jayson Tatum","BOS","F,Flx","5","ROMO","Active","PHI Thu 7:30PM","4565","78.71","100%","0%","11.0","3.6","1.2","26.8","0.7","8.8","5.8","1.1","0.5","2.9","0.14","0.00","0.0","28"
"*05uib*","Cade Cunningham","DET","G,Flx","6","EE","Active","","4522","77.97","100%","0%","11.1","2.2","0.7","25.5","0.8","6.1","9.4","1.0","0.7","4.4","0.10","0.00","0.1","27"
"*031m2*","Giannis Antetokounmpo","MIL","F,C,Flx","7","TRH","Active","","4509","92.02","100%","0%","8.0","0.2","4.2","30.8","2.3","12.1","5.9","0.8","1.2","3.3","0.00","0.00","0.1","42"
"*03ad3*","Karl-Anthony Towns","NY","F,C,Flx","8","BabyOil","Active","@LAL Thu 10:00PM","4374","81","99%","-0.2%","7.9","2.0","0.9","24.5","3.1","13.4","3.1","1.0","0.8","2.6","0.04","0.00","0.0","44"
"*01eo6*","James Harden","LAC","G,Flx","9","Sar","Active","","4260","72.2","100%","0%","9.9","2.9","0.9","22.1","0.7","5.8","8.6","1.5","0.6","4.5","0.02","0.00","0.0","28"
"*05qtv*","Tyrese Haliburton","IND","G,Flx","10","15","Active","@ATL Thu 7:30PM","4256","72.14","100%","0%","7.4","3.1","0.4","18.5","0.6","3.5","8.9","1.5","0.6","1.7","0.02","0.00","0.0","21"
"*05qug*","Anthony Edwards","MIN","G,F,Flx","11","TRUMP","Active","","4240","69.51","100%","0%","11.6","4.1","1.0","27.5","0.8","5.9","4.6","1.2","0.6","3.3","0.26","0.02","0.0","5"
"*04qsa*","Jalen Brunson","NY","G,Flx","13","J&J","Active","@LAL Thu 10:00PM","4061","67.68","100%","0%","9.4","2.3","1.2","26.1","0.4","3.0","7.4","1.0","0.1","2.5","0.02","0.00","0.0","12"
"*04qrk*","Trae Young","ATL","G,Flx","14","J&J","Active","IND Thu 7:30PM","4058","69.97","100%","0%","10.8","2.8","1.0","23.6","0.4","3.1","11.5","1.2","0.2","4.8","0.19","0.00","0.0","37"
"*042nt*","Ivica Zubac","LAC","C,Flx","16","Sar","Active","","3866","64.43","99%","0%","4.3","0.0","1.0","15.9","3.7","12.5","2.5","0.8","1.1","1.6","0.03","0.00","0.0","40"
