"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*03e75*","Nikola Jokic","DEN","C,Flx","1","PartyMar","@HOU Fri 9:30PM","347","115.67","100%","-0.1%","3","29.0","6","4","91","11","41","36","3","3","17","0","0","3","3"
"*05qsq*","Tyrese Maxey","PHI","G,Flx","3","420","","338","112.67","100%","-0.1%","3","32.0","15","4","117","1","10","24","7","4","12","0","0","0","0"
"*05uiu*","Jalen Johnson","ATL","F,Flx","7","ASS","","279","93","100%","-0.1%","3","19.0","7","3","76","2","30","23","5","1","13","0","0","0","2"
"*04qro*","Shai Gilgeous-Alexander","OKC","G,Flx","2","L Bozo","@UTA Fri 10:00PM","269","89.67","100%","-0.1%","3","22.0","7","3","89","3","14","18","7","1","7","0","0","0","0"
"*01eo6*","James Harden","LAC","G,Flx","5","ASS","","257","85.67","100%","-0.1%","3","39.0","12","3","96","3","18","21","4","2","12","0","0","0","0"
"*05uig*","Josh Giddey","CHI","G,Flx","22","Bomb","MIA Fri 8:00PM","254","84.67","100%","-0.1%","3","22.0","4","4","56","6","32","32","3","3","13","0","0","1","2"
"*049kb*","DeAaron Fox","SA","G,Flx","160","Penta","","249","83","98%","0%","3","26.0","9","5","80","2","8","23","6","1","6","0","0","0","1"
"*05qtj*","Deni Avdija","POR","G,F,Flx","13","GOD","@GS Fri 10:00PM","242","80.67","100%","-0.1%","3","31.0","7","6","80","4","22","23","2","3","8","0","0","1","1"
"*06mjz*","Donovan Clingan","POR","C,Flx","60","GOD","@GS Fri 10:00PM","242","80.67","97%","+0.4%","3","16.0","3","1","42","24","44","8","1","9","2","0","0","0","2"
"*051ox*","Nickeil Alexander-Walker","ATL","G,Flx","74","PRO","","235","78.33","79%","+0.7%","3","24.0","12","3","88","2","10","12","2","3","4","0","0","0","0"
"*04ewe*","Donovan Mitchell","CLE","G,Flx","9","Penta","IND Fri 7:00PM","228","76","100%","-0.1%","3","28.0","11","5","88","2","13","14","5","0","10","0","0","0","0"
"*04kj6*","Luka Doncic","LAL","G,Flx","8","GOD","","227","113.5","100%","-0.1%","2","21.0","7","5","78","1","14","16","5","2","11","0","0","0","1"
"*042nm*","Pascal Siakam","IND","F,C,Flx","30","BALL","@CLE Fri 7:00PM","227","75.67","99%","-0.2%","3","26.0","10","3","81","5","15","11","4","2","5","0","0","0","0"
"*05uir*","Trey Murphy","NO","G,F,Flx","25","420","@DAL Fri 8:30PM","214","71.33","100%","0%","3","17.0","11","0","61","3","15","6","11","1","11","1","0","0","0"
"*0527h*","Naz Reid","MIN","F,C,Flx","84","GWBush","@PHO Fri 9:00PM","214","71.33","96%","+0.6%","3","19.0","12","1","69","5","23","6","3","1","5","1","0","0","1"
"*042n4*","Jamal Murray","DEN","G,Flx","38","L Bozo","@HOU Fri 9:30PM","213","71","99%","-0.2%","3","32.0","8","3","73","0","17","24","2","0","8","0","0","0","2"
"*06217*","Dyson Daniels","ATL","G,F,Flx","45","TRUMP","","205","68.33","100%","-0.1%","3","8.0","0","1","31","9","22","23","9","1","12","0","0","0","1"
"*05qtt*","Onyeka Okongwu","ATL","F,C,Flx","31","UBER","","205","68.33","99%","0%","3","16.0","10","0","63","2","12","13","3","4","9","0","0","0","0"
"*03ajv*","Julius Randle","MIN","F,Flx","6","PRO","@PHO Fri 9:00PM","203","67.67","100%","-0.1%","3","28.0","3","6","70","4","22","18","3","0","4","0","0","0","1"
"*027p0*","Nikola Vucevic","CHI","C,Flx","37","9/11ST","MIA Fri 8:00PM","202","67.33","100%","-0.2%","3","27.0","10","0","56","2","29","10","2","4","4","0","0","0","1"
"*04ex6*","Isaiah Hartenstein","OKC","C,Flx","17","L Bozo","@UTA Fri 10:00PM","201","67","99%","-0.1%","3","8.0","0","1","32","14","31","14","5","3","5","0","0","0","1"
"*05qt3*","Desmond Bane","ORL","G,F,Flx","77","UBER","","199","66.33","99%","0%","3","30.0","7","0","64","4","17","14","7","1","8","0","0","0","0"
"*04azw*","Lauri Markkanen","UTA","F,Flx","15","TRUMP","OKC Fri 10:00PM","195","97.5","99%","-0.1%","2","27.0","9","2","78","4","12","4","4","2","2","0","0","0","0"
"*06v5n*","Kon Knueppel","CHA","G,F,Flx","42","Bomb","","193","64.33","94%","+0.3%","3","23.0","11","0","60","9","19","11","3","2","10","0","0","0","0"
"*06211*","Chet Holmgren","OKC","F,C,Flx","65","L Bozo","@UTA Fri 10:00PM","190","63.33","100%","-0.1%","3","19.0","6","2","72","7","24","3","1","5","11","0","0","0","0"
"*05qu9*","Immanuel Quickley","TOR","G,Flx","36","Bomb","WAS Fri 7:30PM","190","63.33","99%","-0.2%","3","18.0","9","0","45","0","18","17","5","0","6","0","0","0","1"
"*06v5h*","Derik Queen","NO","C,Flx","108","L Bozo","@DAL Fri 8:30PM","186","62","76%","+1.5%","3","15.0","1","5","48","9","24","13","4","6","11","0","0","0","0"
