"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*03e75*","Nikola Jokic","DEN","C,Flx","1","Bomb","@MIN Sat 8:00PM","1380","125.45","100%","0%","11","56.0","20","9","317","33","144","120","20","8","33","0","0","6","10"
"*04qro*","Shai Gilgeous-Alexander","OKC","G,Flx","2","L Bozo","@CHA Sat 7:00PM","1169","89.92","100%","0%","13","132.0","28","12","423","5","67","86","17","13","22","0","0","0","2"
"*031m2*","Giannis Antetokounmpo","MIL","F,C,Flx","3","HAIRY","LAL Sat 8:00PM","1145","104.09","100%","0%","11","82.0","8","42","359","41","126","80","11","14","37","0","0","0","7"
"*06cch*","Victor Wembanyama","SA","C,Flx","4","9/11FT","","1134","94.5","100%","0%","12","110.0","20","12","314","24","155","48","13","43","43","0","0","1","9"
"*05qsq*","Tyrese Maxey","PHI","G,Flx","5","420","","1081","90.08","100%","0%","12","153.0","46","11","384","4","61","94","17","10","30","1","0","0","2"
"*03ajv*","Julius Randle","MIN","F,Flx","6","PRO","DEN Sat 8:00PM","959","79.92","100%","0%","12","89.0","24","12","305","18","90","73","15","3","32","0","0","2","3"
"*05uiq*","Alperen Sengun","HOU","F,C,Flx","7","PRO","","937","85.18","100%","0%","11","85.0","17","21","246","30","112","81","15","10","35","0","0","0","7"
"*03nwm*","Devin Booker","PHO","G,F,Flx","8","HAIRY","","934","71.85","99%","-0.2%","13","127.0","28","11","371","14","55","91","10","3","51","1","0","0","3"
"*04kj6*","Luka Doncic","LAL","G,Flx","9","GOD","@MIL Sat 8:00PM","932","103.56","100%","-0.1%","9","110.0","31","24","303","8","80","83","16","4","34","2","0","1","7"
"*01eo6*","James Harden","LAC","G,Flx","10","ASS","","931","84.64","100%","0%","11","97.0","40","7","275","6","69","100","10","5","43","0","0","2","6"
"*03ad3*","Karl-Anthony Towns","NY","F,C,Flx","11","Penta","","925","77.08","99%","+0.1%","12","106.0","24","8","261","37","150","40","12","11","30","1","0","0","11"
"*05uie*","Scottie Barnes","TOR","F,Flx","12","UBER","@IND Sat 7:00PM","912","76","100%","0%","12","93.0","21","8","242","23","91","62","18","22","23","1","0","0","6"
