Columns:
ManagerID,Season,Team Name,Team Abbreviation

M001,2021-22,Tiger Blood,wackah
M001,2022-23,Tiger Blood,wackah
M001,2023-24,Big Black Coconuts,BBC
M001,2024-25,Shaq’s Anus Ripples,Sar
M001,2025-26,9/11 Second Tower,9/11ST

M002,2021-22,Bingsussychilling,Bigsussy
M002,2022-23,2024 MVP Ding Yanyuhang,Ding
M002,2023-24,如果你讀到這篇文章你就是同性戀,Lewashed
M002,2024-25,15 Dream Team,15
M002,2025-26,Haliban’s Heroes,Bomb

M003,2021-22,Gianni's Secret Move,GSM
M003,2022-23,Gianni's Secret Move,GSM
M003,2023-24,Stevens Underaged Experience,Tribunal
M003,2023-24,🚨Gianni… Fire the N Missile 🚨,Gianni14
M003,2025-26,The Pentagon,Penta

M004,2021-22,ManchuWok,Manchu
M004,2022-23,ManchuWok,Manchu
M004,2023-24,EpsteinsIslandBoys,Young
M004,2024-25,P Diddy’s Slip & Slide,BabyOil
M004,2025-26,The Noto Son,GN

M005,2021-22,Pizza Time,Tobey
M005,2022-23,Pizza Time,Tobey
M005,2023-24,Pizza Time,Tobey
M005,2024-25,President of Retarded Operations,PRO
M005,2025-26,President of Retarded Operations,PRO

M006,2021-22,SpeckledGnu,Speckled
M006,2022-23,SpeckledGnu,Speckled
M006,2023-24,SpeckledGnu,Gnu
M006,2024-25,Kevin O’Leary,420
M006,2025-26,Kevin O’Leary,420

M007,2021-22,Team IAMCANADA,IAMCANAD
M007,2023-24,Deez,Nuts
M007,2024-25,Give me the fentanyl,Fent
M007,2025-26,Daaaaaa Yankeees lose,L Bozo

M008,2022-23,LeBronto,LeBJ
M008,2023-24,Chungus Szn,CHNG SZN
M008,2024-25,Epstein Experience,EE
M008,2025-26,LAMELOcan Airlines Flight 11,BALL

M009,2022-23,I Got You Kobe,VINO
M009,2023-24,The Diddler,DDD
M009,2024-25,Kamala’s Gunz,TRUMP
M009,2025-26,Kamala’s Gunz,TRUMP

M010,2023-24,Adam Silver's Sovereign Wealth Fund,ASSWF
M010,2024-25,Rudy Homo,ROMO
M010,2025-26,I’m Your Uber Driver,UBER

M011,2023-24,Stairway to Kevin,KEVON
M011,2024-25,Tauras’ Tom Johnson,J&J
M011,2025-26,Jesus Christ,GOD

M012,2023-24,MyNword,MyNword
M012,2025-26,9/11 First Tower,9/11FT

M013,2024-25,Diddled By Diddy,DBD
M013,2025-26,George W Bush,GWBush

M014,2024-25,The Retirement Home,TRH
M014,2025-26,A Stupid Silly Cat,ASS

M015,2025-26,CaitlinClark KeepsItHairy,HAIRY

M016,2025-26,PartyMarty__,PartyMar
