Player ID,Player,Bids ($200 Auction),S1 (Picked Spot),S2 ,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
*03e75*,Nikola Jokic,,1,102,100,101,,,,,,,,
*031m2*,Giannis Antetokounmpo,,2,80,80,71,,,,,,,,
*04kj6*,Luka Doncic,,3,70,73,94,,,,,,,,
*01enh*,Stephen Curry,,4,52,69,49,,,,,,,,
*01eo6*,James Harden,,5,55,49,41,,,,,,,,
*001aw*,Kevin Durant,,6,61,52,48,,,,,,,,
*02nf6*,Damian Lillard,,7,30,64,38,,,,,,,,
*03xmv*,Jayson Tatum,,8,46,65,60,,,,,,,,
*04qrk*,Trae Young,,9,49,60,48,,,,,,,,
*03al2*,Joel Embiid,,10,67,76,57,,,,,,,,
*0011e*,LeBron James,,11,49,41,42,,,,,,,,
*042n7*,Domantas Sabonis,,12,27,73,83,,,,,,,,
*03ad3*,Karl-Anthony Towns,,13,57,43,34,,,,,,,,
*02nf3*,Bradley Beal,,14,22,12,11,,,,,,,,
*04ewf*,Bam Adebayo,,15,23,31,29,,,,,,,,
*027oj*,Kyrie Irving,,16,26,39,36,,,,,,,,
*005kc*,Russell Westbrook,,17,16,20,4,,,,,,,,
*051oh*,Zion Williamson,,18,39,20,37,,,,,,,,
*01uyj*,Paul George,,19,26,36,24,,,,,,,,
*02nf1*,Anthony Davis,,20,32,50,55,,,,,,,,
*027p0*,Nikola Vucevic,,21,41,46,23,,,,,,,,
*027pe*,Jimmy Butler,,22,20,38,25,,,,,,,,
*02xg9*,Rudy Gobert,,23,32,24,21,,,,,,,,
*03ams*,Zach LaVine,,24,19,33,13,,,,,,,,
*049kd*,Deandre Ayton,,25,9,16,10,,,,,,,,
*027oo*,Jonas Valanciunas,,26,11,21,29,,,,,,,,
*03nwm*,Devin Booker,,27,34,29,37,,,,,,,,
*04qrr*,Michael Porter,,28,1,2,5,,,,,,,,
*05qto*,LaMelo Ball,,29,51,54,46,,,,,,,,
*02ng3*,Khris Middleton,,30,10,9,17,,,,,,,,
*04848*,Fred VanVleet,,31,16,24,22,,,,,,,,
