Player ID,Player,S1 FP/G,S2 FP/G,S3 FP/G,S4 FP/G,S5 FP/G,S6 FP/G,S7 FP/G,S8 FP/G,S9 FP/G,S10 FP/G,S11 FP/G,S12 FP/G
*03e75*,Nikola Jokic,103.11,101.22,102.68,116.49,,,,,,,,
*031m2*,Giannis Antetokounmpo,93.58,87.51,96.49,93.96,,,,,,,,
*04kj6*,Luka Doncic,87.35,93.95,106.64,87.88,,,,,,,,
*01enh*,Stephen Curry,75.97,85,70.73,73.06,,,,,,,,
*01eo6*,James Harden,82.25,82.98,69.08,77.57,,,,,,,,
*001aw*,Kevin Durant,82.58,78.47,74.83,71.35,,,,,,,,
*02nf6*,Damian Lillard,63.34,86.26,69.11,74.95,,,,,,,,
*03xmv*,Jayson Tatum,72.74,82.55,76.93,79.85,,,,,,,,
*04qrk*,Trae Young,79.62,72.68,78.3,76.37,,,,,,,,
*03al2*,Joel Embiid,89.29,91.53,101.41,64.95,,,,,,,,
*0011e*,LeBron James,89.38,81.62,84.03,80.34,,,,,,,,
*042n7*,Domantas Sabonis,74.31,82.63,88.3,82.46,,,,,,,,
*03ad3*,Karl-Anthony Towns,76.89,65.62,63.97,81.89,,,,,,,,
*02nf3*,Bradley Beal,59.8,60.08,55.42,49.4,,,,,,,,
*04ewf*,Bam Adebayo,65.91,62.76,66.94,66.03,,,,,,,,
*027oj*,Kyrie Irving,74.97,75.8,72.76,67.7,,,,,,,,
*005kc*,Russell Westbrook,57.51,55.88,41.19,50.96,,,,,,,,
*051oh*,Zion Williamson,0,69.55,63.01,70.3,,,,,,,,
*01uyj*,Paul George,70.84,68.41,65.61,55.07,,,,,,,,
*02nf1*,Anthony Davis,74.22,85.46,88.7,82.88,,,,,,,,
*027p0*,Nikola Vucevic,63.68,65.16,62.64,68.08,,,,,,,,
*027pe*,Jimmy Butler,65.47,73,63.03,61.65,,,,,,,,
*02xg9*,Rudy Gobert,71.62,58.21,66.26,58.29,,,,,,,,
*03ams*,Zach LaVine,60.49,61.61,53.2,60.88,,,,,,,,
*049kd*,Deandre Ayton,58.1,56.66,59.58,53.45,,,,,,,,
*027oo*,Jonas Valanciunas,63.12,50.18,47.98,40.52,,,,,,,,
*03nwm*,Devin Booker,66.57,67.96,72.79,68.52,,,,,,,,
*04qrr*,Michael Porter,33.11,48.27,51.36,55.94,,,,,,,,
*05qto*,LaMelo Ball,72.64,76,75.32,70.34,,,,,,,,
*02ng3*,Khris Middleton,59.5,45.33,51.2,41.05,,,,,,,,
*04848*,Fred VanVleet,68.22,66.33,68.18,52.1,,,,,,,,
*04ewe*,Donovan Mitchell,67.21,73.03,77.6,66.03,,,,,,,,
*03ajv*,Julius Randle,60.65,71.43,66.43,57.36,,,,,,,,
*049kb*,De'Aaron Fox,56.37,65.77,73.05,66.31,,,,,,,,
*0017e*,Chris Paul,70.43,62.64,46,49.67,,,,,,,,
*03lls*,Jaylen Brown,60.11,66.48,59.87,59.02,,,,,,,,
*042n1*,Brandon Ingram,58.04,62.38,58.64,59.06,,,,,,,,
*051oi*,Ja Morant,71.26,71.52,71.89,61.96,,,,,,,,
*05qug*,Anthony Edwards,58.72,65.53,66.71,71.58,,,,,,,,
*04ewn*,OG Anunoby,52.65,53.3,46.44,55.09,,,,,,,,
*03el5*,Kristaps Porzingis,61.08,70.42,63.7,60.52,,,,,,,,
*04qro*,Shai Gilgeous-Alexander,65.86,79.38,86.6,89.82,,,,,,,,
*04ewm*,Jarrett Allen,63.7,57.79,63.87,57.88,,,,,,,,
*031lx*,CJ McCollum,60.45,58.56,61.2,53.59,,,,,,,,
*02nfz*,Draymond Green,51.09,50.48,50.13,49.19,,,,,,,,
*042nq*,Dejounte Murray,81.62,61.76,67.81,63.39,,,,,,,,
*01eon*,DeMar DeRozan,63.62,61.32,62.32,54.35,,,,,,,,
*051pa*,Kevin Porter,51.75,59.73,0,34.05,,,,,,,,
*03e6n*,Jusuf Nurkic,58.18,52.4,57.3,39.39,,,,,,,,
*03ad4*,D'Angelo Russell,56.54,56.07,57.86,42.28,,,,,,,,
*049ka*,Lonzo Ball,59.89,0,0,36.86,,,,,,,,
*02ym0*,Andrew Wiggins,47.44,52.24,36.77,50.57,,,,,,,,
*04ewk*,John Collins,53.3,42.38,51.26,59.42,,,,,,,,
*051oj*,RJ Barrett,45.8,42.58,50.02,58.16,,,,,,,,
*03nwq*,Christian Wood,61.99,51.24,26.26,0,,,,,,,,
*05uie*,Scottie Barnes,53.68,53.86,73.73,65.25,,,,,,,,
*05uib*,Cade Cunningham,52.06,54.83,62,77.09,,,,,,,,
*01eo9*,Jrue Holiday,64.67,66.46,52.07,44,,,,,,,,
*027p4*,Tobias Harris,51.95,48.28,53.69,45.47,,,,,,,,
*04qrm*,Collin Sexton,32.82,35.35,50.41,45.46,,,,,,,,
*042nm*,Pascal Siakam,70.35,70.28,62.12,60.49,,,,,,,,
*03ad2*,Myles Turner,52.19,59.87,54.22,53.68,,,,,,,,
*01uz7*,Gordon Hayward,47.88,43.46,32.98,0,,,,,,,,
*027os*,Kemba Walker,0,0,0,0,,,,,,,,
*0496e*,Alex Caruso,38.85,33.16,47.55,35.59,,,,,,,,
*05uif*,Jalen Suggs,34.54,34.32,42.69,48.09,,,,,,,,
*04fj8*,Chris Boucher,35.39,34.13,23.18,32.44,,,,,,,,
*04qrp*,Miles Bridges,61.7,0,59.54,57.84,,,,,,,,
*04qrj*,Jaren Jackson,49.18,60.56,57.61,60.32,,,,,,,,
*03aq2*,Jerami Grant,48.38,53.03,49.24,40.17,,,,,,,,
*0015b*,Kyle Lowry,56.14,45.24,37.95,23.77,,,,,,,,
*03r7z*,Norman Powell,47.2,40.68,34.76,52.65,,,,,,,,
*042n3*,Buddy Hield,45.05,54.11,40.54,34.21,,,,,,,,
