Player ID,Player,S1 GP,S2 GP,S3 GP,S4 GP,S5 GP,S6 GP,S7 GP,S8 GP,S9 GP,S10 GP,S11 GP,S12 GP
*03e75*,Nikola Jokic,66,68,72,64,,,,,,,,
*031m2*,Giannis Antetokounmpo,59,61,69,61,,,,,,,,
*04kj6*,Luka Doncic,60,58,65,43,,,,,,,,
*01enh*,Stephen Curry,50,64,68,62,,,,,,,,
*01eo6*,James Harden,53,58,67,71,,,,,,,,
*001aw*,Kevin Durant,42,48,67,62,,,,,,,,
*02nf6*,Damian Lillard,58,29,68,58,,,,,,,,
*03xmv*,Jayson Tatum,69,71,69,67,,,,,,,,
*04qrk*,Trae Young,68,68,51,69,,,,,,,,
*03al2*,Joel Embiid,61,61,34,19,,,,,,,,
*0011e*,LeBron James,48,55,65,63,,,,,,,,
*042n7*,Domantas Sabonis,72,62,74,62,,,,,,,,
*03ad3*,Karl-Anthony Towns,23,69,60,67,,,,,,,,
*02nf3*,Bradley Beal,50,40,45,48,,,,,,,,
*04ewf*,Bam Adebayo,70,50,63,72,,,,,,,,
*027oj*,Kyrie Irving,55,22,52,50,,,,,,,,
*005kc*,Russell Westbrook,66,73,62,68,,,,,,,,
*051oh*,Zion Williamson,29,0,63,30,,,,,,,,
*01uyj*,Paul George,56,26,68,41,,,,,,,,
*02nf1*,Anthony Davis,49,37,70,46,,,,,,,,
*027p0*,Nikola Vucevic,74,66,70,66,,,,,,,,
*027pe*,Jimmy Butler,60,52,52,47,,,,,,,,
*02xg9*,Rudy Gobert,63,59,68,65,,,,,,,,
*03ams*,Zach LaVine,70,61,25,66,,,,,,,,
*049kd*,Deandre Ayton,61,54,48,40,,,,,,,,
*027oo*,Jonas Valanciunas,71,69,74,73,,,,,,,,
*03nwm*,Devin Booker,47,64,60,69,,,,,,,,
*04qrr*,Michael Porter,57,9,74,72,,,,,,,,
*05qto*,LaMelo Ball,36,68,22,47,,,,,,,,
*02ng3*,Khris Middleton,29,60,49,37,,,,,,,,
*04848*,Fred VanVleet,63,60,67,56,,,,,,,,
*04ewe*,Donovan Mitchell,64,62,51,68,,,,,,,,
*03ajv*,Julius Randle,75,70,46,62,,,,,,,,
*049kb*,De'Aaron Fox,66,59,66,62,,,,,,,,
*0017e*,Chris Paul,53,60,50,74,,,,,,,,
*03lls*,Jaylen Brown,63,60,66,59,,,,,,,,
