Player ID,Round,Pick,Ov Pick,Pos,Player,Team,Fantasy Team,Time (EDT),,,,
*03e75*,1,1,1,C,Nikola Jokic,DEN,Tiger Blood,10/9/2021 11:00,,,,
*031m2*,1,2,2,F,Giannis Antetokounmpo,MIL,SpeckledGnu,10/9/2021 11:01,,,,
*04kj6*,1,3,3,G,Luka Doncic,DAL,Team IAMCANADA,10/9/2021 11:01,,,,
*01enh*,1,4,4,G,Stephen Curry,GS,Bingsussychilling,10/9/2021 11:01,,,,
*01eo6*,1,5,5,G,James Harden,BKN,Gianni’s Secret Move,10/9/2021 11:01,,,,
*001aw*,1,6,6,F,Kevin Durant,BKN,Pizza Time 🍕,10/9/2021 11:02,,,,
*02nf6*,1,7,7,G,Damian Lillard,POR,ManchuWok,10/9/2021 11:02,,,,
*03xmv*,2,1,8,F,Jayson Tatum,BOS,ManchuWok,10/9/2021 11:02,,,,
*04qrk*,2,2,9,G,Trae Young,ATL,Pizza Time 🍕,10/9/2021 11:03,,,,
*03al2*,2,3,10,C,Joel Embiid,PHI,Gianni’s Secret Move,10/9/2021 11:03,,,,
*0011e*,2,4,11,F,LeBron James,LAL,Bingsussychilling,10/9/2021 11:03,,,,
*042n7*,2,5,12,F,Domantas Sabonis,IND,Team IAMCANADA,10/9/2021 11:08,,,,
*03ad3*,2,6,13,C,Karl-Anthony Towns,MIN,SpeckledGnu,10/9/2021 11:04,,,,
*02nf3*,2,7,14,G,Bradley Beal,WAS,Tiger Blood,10/9/2021 11:04,,,,
*04ewf*,3,1,15,C,Bam Adebayo,MIA,Tiger Blood,10/9/2021 11:04,,,,
*027oj*,3,2,16,G,Kyrie Irving,BKN,SpeckledGnu,10/9/2021 11:05,,,,
*005kc*,3,3,17,G,Russell Westbrook,LAL,Team IAMCANADA,10/9/2021 11:06,,,,
*051oh*,3,4,18,F,Zion Williamson,NO,Bingsussychilling,10/9/2021 11:06,,,,
*01uyj*,3,5,19,F,Paul George,LAC,Gianni’s Secret Move,10/9/2021 11:06,,,,
*02nf1*,3,6,20,F,Anthony Davis,LAL,Pizza Time 🍕,10/9/2021 11:07,,,,
*027p0*,3,7,21,C,Nikola Vucevic,CHI,ManchuWok,10/9/2021 11:07,,,,
*027pe*,4,1,22,F,Jimmy Butler,MIA,ManchuWok,10/9/2021 11:07,,,,
*02xg9*,4,2,23,C,Rudy Gobert,UTA,Pizza Time 🍕,10/9/2021 11:08,,,,
*03ams*,4,3,24,G,Zach LaVine,CHI,Gianni’s Secret Move,10/9/2021 11:08,,,,
*049kd*,4,4,25,C,Deandre Ayton,PHO,Bingsussychilling,10/9/2021 11:09,,,,
*027oo*,4,5,26,C,Jonas Valanciunas,NO,Team IAMCANADA,10/9/2021 11:10,,,,
*03nwm*,4,6,27,G,Devin Booker,PHO,SpeckledGnu,10/9/2021 11:10,,,,
*04qrr*,4,7,28,F,Michael Porter,DEN,Tiger Blood,10/9/2021 11:11,,,,
*05qto*,5,1,29,G,LaMelo Ball,CHA,Tiger Blood,10/9/2021 11:12,,,,
*02ng3*,5,2,30,F,Khris Middleton,MIL,SpeckledGnu,10/9/2021 11:12,,,,
*04848*,5,3,31,G,Fred VanVleet,TOR,Team IAMCANADA,10/9/2021 11:12,,,,
*04ewe*,5,4,32,G,Donovan Mitchell,UTA,Bingsussychilling,10/9/2021 11:13,,,,
*03ajv*,5,5,33,F,Julius Randle,NY,Gianni’s Secret Move,10/9/2021 11:14,,,,
*049kb*,5,6,34,G,De'Aaron Fox,SAC,Pizza Time 🍕,10/9/2021 11:15,,,,
*0017e*,5,7,35,G,Chris Paul,PHO,ManchuWok,10/9/2021 11:15,,,,
*03lls*,6,1,36,F,Jaylen Brown,BOS,ManchuWok,10/9/2021 11:16,,,,
*042n1*,6,2,37,F,Brandon Ingram,NO,Pizza Time 🍕,10/9/2021 11:16,,,,
*051oi*,6,3,38,G,Ja Morant,MEM,Gianni’s Secret Move,10/9/2021 11:17,,,,
*05qug*,6,4,39,G,Anthony Edwards,MIN,Bingsussychilling,10/9/2021 11:18,,,,
*04ewn*,6,5,40,F,OG Anunoby,TOR,Team IAMCANADA,10/9/2021 11:20,,,,
*03el5*,6,6,41,F,Kristaps Porzingis,DAL,SpeckledGnu,10/9/2021 11:20,,,,
*04qro*,6,7,42,G,Shai Gilgeous-Alexander,OKC,Tiger Blood,10/9/2021 11:22,,,,
*04ewm*,7,1,43,C,Jarrett Allen,CLE,Tiger Blood,10/9/2021 11:22,,,,
*031lx*,7,2,44,G,CJ McCollum,POR,SpeckledGnu,10/9/2021 11:23,,,,
*02nfz*,7,3,45,F,Draymond Green,GS,Team IAMCANADA,10/9/2021 11:23,,,,
*042nq*,7,4,46,G,Dejounte Murray,SA,Bingsussychilling,10/9/2021 11:24,,,,
*01eon*,7,5,47,G,DeMar DeRozan,CHI,Gianni’s Secret Move,10/9/2021 11:24,,,,
*051pa*,7,6,48,G,Kevin Porter,HOU,Pizza Time 🍕,10/9/2021 11:25,,,,
*03e6n*,7,7,49,C,Jusuf Nurkic,POR,ManchuWok,10/9/2021 11:25,,,,
*03ad4*,8,1,50,G,D'Angelo Russell,MIN,ManchuWok,10/9/2021 11:25,,,,
*049ka*,8,2,51,G,Lonzo Ball,CHI,Pizza Time 🍕,10/9/2021 11:26,,,,
*02ym0*,8,3,52,F,Andrew Wiggins,GS,Gianni’s Secret Move,10/9/2021 11:27,,,,
*04ewk*,8,4,53,F,John Collins,ATL,Bingsussychilling,10/9/2021 11:27,,,,
*051oj*,8,5,54,G,RJ Barrett,NY,Team IAMCANADA,10/9/2021 11:28,,,,
*03nwq*,8,6,55,F,Christian Wood,HOU,SpeckledGnu,10/9/2021 11:28,,,,
*05uie*,8,7,56,F,Scottie Barnes,TOR,Tiger Blood,10/9/2021 11:30,,,,
*05uib*,9,1,57,G,Cade Cunningham,DET,Tiger Blood,10/9/2021 11:31,,,,
*01eo9*,9,2,58,G,Jrue Holiday,MIL,SpeckledGnu,10/9/2021 11:32,,,,
*027p4*,9,3,59,F,Tobias Harris,PHI,Team IAMCANADA,10/9/2021 11:32,,,,
*04qrm*,9,4,60,G,Collin Sexton,CLE,Bingsussychilling,10/9/2021 11:33,,,,
*042nm*,9,5,61,F,Pascal Siakam,TOR,Gianni’s Secret Move,10/9/2021 11:33,,,,
*03ad2*,9,6,62,C,Myles Turner,IND,Pizza Time 🍕,10/9/2021 11:34,,,,
*01uz7*,9,7,63,F,Gordon Hayward,CHA,ManchuWok,10/9/2021 11:34,,,,
*027os*,10,1,64,G,Kemba Walker,NY,ManchuWok,10/9/2021 11:34,,,,
*0496e*,10,2,65,G,Alex Caruso,CHI,Pizza Time 🍕,10/9/2021 11:35,,,,
*05uif*,10,3,66,G,Jalen Suggs,ORL,Gianni’s Secret Move,10/9/2021 11:35,,,,
*04fj8*,10,4,67,F,Chris Boucher,TOR,Bingsussychilling,10/9/2021 11:36,,,,
*04qrp*,10,5,68,F,Miles Bridges,CHA,Team IAMCANADA,10/9/2021 11:36,,,,
*04qrj*,10,6,69,C,Jaren Jackson,MEM,SpeckledGnu,10/9/2021 11:37,,,,
*03aq2*,10,7,70,F,Jerami Grant,DET,Tiger Blood,10/9/2021 11:38,,,,
*0015b*,11,1,71,G,Kyle Lowry,MIA,Tiger Blood,10/9/2021 11:38,,,,
*03r7z*,11,2,72,G,Norman Powell,POR,SpeckledGnu,10/9/2021 11:40,,,,
*042n3*,11,3,73,G,Buddy Hield,SAC,Team IAMCANADA,10/9/2021 11:40,,,,
*027ou*,11,4,74,G,Klay Thompson,GS,Bingsussychilling,10/9/2021 11:41,,,,
*03e6s*,11,5,75,C,Clint Capela,ATL,Gianni’s Secret Move,10/9/2021 11:41,,,,
*04s00*,11,6,76,F,Duncan Robinson,MIA,Pizza Time 🍕,10/9/2021 11:42,,,,
*042nw*,11,7,77,G,Malcolm Brogdon,IND,ManchuWok,10/9/2021 11:42,,,,
*03e6u*,12,1,78,G,Bogdan Bogdanovic,ATL,ManchuWok,10/9/2021 11:43,,,,
*000zv*,12,2,79,C,Al Horford,BOS,Pizza Time 🍕,10/9/2021 11:44,,,,
*03al0*,12,3,80,F,Aaron Gordon,DEN,Gianni’s Secret Move,10/9/2021 11:45,,,,
*04qrn*,12,4,81,F,Mikal Bridges,PHO,Bingsussychilling,10/9/2021 11:45,,,,
*03nwl*,12,5,82,G,Terry Rozier,CHA,Team IAMCANADA,10/9/2021 11:45,,,,
*04ewt*,12,6,83,G,Derrick White,SA,SpeckledGnu,10/9/2021 11:47,,,,
*042n6*,12,7,84,C,Jakob Poeltl,SA,Tiger Blood,10/9/2021 11:47,,,,
*05uic*,13,1,85,G,Jalen Green,HOU,Tiger Blood,10/9/2021 11:48,,,,
