ID,Player,Team,Position,Status,Opponent,FPts,FP/G,GP,FG-,3PTM,FT-,PTS,OREB,REB,AST,ST,BLK,TO,TF,EJ,3D,2D,,,,,,,,
*03e75*,Nikola Jokic,DEN,"C,Flx",DBD,,7029,106.5,66,364,57,71,"1,645",162,780,652,83,42,232,4,0,28,55,,,,,,,,
*042n7*,Domantas Sabonis,SAC,"F,C,Flx",PRO,,5946,82.58,72,337,28,95,"1,376",230,899,524,59,36,210,2,0,12,60,,,,,,,,
*04kj6*,Luka Doncic,DAL/LAL,"G,Flx",MylS,,5706,95.1,60,672,169,173,"1,983",50,520,491,86,31,223,17,1,10,33,,,,,,,,
*03al2*,Joel Embiid,PHI,"C,Flx",FA,TOR 127<br/>@PHI 109 F,5558,91.11,61,562,63,105,"2,032",108,621,257,65,106,211,5,0,1,37,,,,,,,,
*03xmv*,Jayson Tatum,BOS,"F,Flx",ROMO,,5540,80.29,69,795,223,86,"2,078",74,612,323,72,50,205,10,1,1,30,,,,,,,,
*03ajv*,Julius Randle,MIN,"F,C,Flx",Tribunal,DET 104<br/>@MIN 123 F,5215,69.53,75,761,215,128,"1,907",139,758,312,48,21,213,11,1,0,40,,,,,,,,
*031m2*,Giannis Antetokounmpo,MIL,"F,C,Flx",TRH,ATL 145<br/>@MIL 124 F,5028,85.22,59,540,47,256,"1,836",131,693,329,47,46,229,5,0,4,43,,,,,,,,
*04qro*,Shai Gilgeous-Alexander,OKC,"G,Flx",Fent,,5025,78.52,64,637,55,66,"2,003",56,305,348,108,64,184,1,0,0,3,,,,,,,,
*02nf6*,Damian Lillard,MIL,"G,Flx",BabyOil,ATL 145<br/>@MIL 124 F,4931,85.02,58,646,244,48,"1,866",44,277,425,50,18,191,8,0,2,16,,,,,,,,
*04qrk*,Trae Young,ATL,"G,Flx",J&J,ATL 145<br/>@MIL 124 F,4731,69.57,68,744,150,66,"1,812",55,208,677,74,9,277,17,1,0,36,,,,,,,,
*027p0*,Nikola Vucevic,CHI,"C,Flx",TRUMP,,4662,63,74,506,113,24,"1,296",148,827,241,56,56,129,8,1,1,46,,,,,,,,
*05qug*,Anthony Edwards,MIN,"G,F,Flx",TRUMP,DET 104<br/>@MIN 123 F,4584,63.67,72,753,195,89,"1,768",40,421,318,115,51,240,14,1,0,8,,,,,,,,
*04ewe*,Donovan Mitchell,CLE,"G,Flx",J&J,LAC 122<br/>@CLE 127 F,4471,69.86,64,679,226,44,"1,753",62,269,286,94,25,166,2,1,0,5,,,,,,,,
*04azw*,Lauri Markkanen,UTA,"F,Flx",MylS,,4466,69.78,64,545,197,49,"1,643",125,552,119,40,38,124,0,0,0,28,,,,,,,,
*042nm*,Pascal Siakam,IND,"F,C,Flx",Sar,,4460,68.62,65,633,89,105,"1,575",120,508,386,55,33,160,5,0,2,22,,,,,,,,
*01eo6*,James Harden,LAC,"G,Flx",Sar,LAC 122<br/>@CLE 127 F,4410,83.21,53,434,149,46,"1,133",36,336,575,64,28,179,3,0,5,33,,,,,,,,
*03el5*,Kristaps Porzingis,BOS,"F,C,Flx",MylS,,4410,68.91,64,504,134,62,"1,473",112,533,168,57,99,137,7,0,0,19,,,,,,,,
*05qtv*,Tyrese Haliburton,IND,"G,Flx",15,,4391,78.41,56,429,161,26,"1,160",33,205,585,91,25,141,3,0,0,32,,,,,,,,
*04ewf*,Bam Adebayo,MIA,"F,C,Flx",PRO,,4318,61.69,70,486,1,76,"1,463",171,650,228,83,61,183,7,1,0,30,,,,,,,,
*03ams*,Zach LaVine,CHI/SAC,"G,F,Flx",420,,4304,61.49,70,655,195,59,"1,759",41,321,291,63,17,181,3,0,0,2,,,,,,,,
*049kb*,DeAaron Fox,SAC/SA,"G,Flx",FA,GS 148<br/>@SA 106 F,4238,64.21,66,583,111,93,"1,667",34,275,400,77,21,170,11,1,0,10,,,,,,,,
*05uid*,Evan Mobley,CLE,"F,C,Flx",J&J,LAC 122<br/>@CLE 127 F,4236,57.24,74,398,21,95,"1,209",174,661,205,58,107,145,0,0,0,22,,,,,,,,
*04qrn*,Mikal Bridges,NY,"G,F,Flx",DBD,POR 93<br/>@NY 110 F,4217,55.49,76,593,155,30,"1,500",73,334,252,83,58,113,1,0,0,2,,,,,,,,
*027pe*,Jimmy Butler,MIA/GS,"F,Flx",420,GS 148<br/>@SA 106 F,4211,70.18,60,394,34,79,"1,368",139,358,308,112,21,98,1,0,0,10,,,,,,,,
*01enh*,Stephen Curry,GS,"G,Flx",TRUMP,GS 148<br/>@SA 106 F,4183,83.66,50,507,242,22,"1,470",34,311,316,46,17,165,5,1,1,12,,,,,,,,
*03lls*,Jaylen Brown,BOS,"G,F,Flx",420,,4175,66.27,63,656,159,78,"1,699",76,438,214,72,26,185,3,0,0,12,,,,,,,,
*04848*,Fred VanVleet,HOU,"G,Flx",Tribunal,HOU 148<br/>@PHO 109 F,4109,65.22,63,620,195,27,"1,249",28,262,444,110,35,128,8,1,1,9,,,,,,,,
*042nq*,Dejounte Murray,NO,"G,Flx",420,CHA 94<br/>@NO 98 F,4096,60.24,68,662,127,30,"1,385",48,362,419,103,19,148,8,0,1,8,,,,,,,,
*027oj*,Kyrie Irving,DAL,"G,Flx",Fent,,4094,74.44,55,567,176,26,"1,489",55,283,300,58,41,122,3,0,0,5,,,,,,,,
*051ol*,Darius Garland,CLE,"G,Flx",J&J,LAC 122<br/>@CLE 127 F,4086,62.86,65,562,163,44,"1,407",27,175,508,83,7,188,3,0,0,17,,,,,,,,
