Player ID,Pick,Pos,Player,Team,Bid,Fantasy Team,Time (EDT),,,,,
*027oz*,1,F,Kawhi Leonard,LAC,33,I Got You Kobe,10/8/2022 3:44,,,,,
*031m2*,2,F,Giannis Antetokounmpo,MIL,80,ManchuWok,10/8/2022 3:46,,,,,
*04kj6*,3,G,Luka Doncic,DAL,70,Pizza Time 🍕,10/8/2022 3:47,,,,,
*027oj*,4,G,Kyrie Irving,BKN/DAL,26,Zenkevafuck,10/8/2022 3:47,,,,,
*04ewn*,5,F,OG Anunoby,TOR,18,2024 MVP Ding Yanyuhang,10/8/2022 3:49,,,,,
*03xmv*,6,F,Jayson Tatum,BOS,46,I Got You Kobe,10/8/2022 3:51,,,,,
*03ad3*,7,C,Karl-Anthony Towns,MIN,57,I Got You Kobe,10/8/2022 3:53,,,,,
*051oh*,8,F,Zion Williamson,NO,39,Team IAMCANADA,10/8/2022 3:55,,,,,
*001aw*,9,F,Kevin Durant,BKN/PHO,61,SpeckledGnu,10/8/2022 3:56,,,,,
*051oi*,10,G,Ja Morant,MEM,42,Zenkevafuck,10/8/2022 3:59,,,,,
*03e75*,11,C,Nikola Jokic,DEN,102,Team IAMCANADA,10/8/2022 4:00,,,,,
*05qtv*,12,G,Tyrese Haliburton,IND,48,2024 MVP Ding Yanyuhang,10/8/2022 4:01,,,,,
*01enh*,13,G,Stephen Curry,GS,52,ManchuWok,10/8/2022 4:02,,,,,
*03al2*,14,C,Joel Embiid,PHI,67,Tiger Blood,10/8/2022 4:04,,,,,
*04qrk*,15,G,Trae Young,ATL,49,Gianni’s Secret Move,10/8/2022 4:05,,,,,
*01eo6*,16,G,James Harden,PHI,55,SpeckledGnu,10/8/2022 4:07,,,,,
*01eo9*,17,G,Jrue Holiday,MIL,27,Tiger Blood,10/8/2022 4:10,,,,,
*03nwm*,18,G,Devin Booker,PHO,34,Tiger Blood,10/8/2022 4:11,,,,,
*000zv*,19,C,Al Horford,BOS,17,2024 MVP Ding Yanyuhang,10/8/2022 4:12,,,,,
*06210*,20,F,Paolo Banchero,ORL,22,LeBronto,10/8/2022 4:14,,,,,
*0011e*,21,F,LeBron James,LAL,49,LeBronto,10/8/2022 4:15,,,,,
*05qto*,22,G,LaMelo Ball,CHA,51,Gianni’s Secret Move,10/8/2022 4:16,,,,,
*027p0*,23,C,Nikola Vucevic,CHI,41,Tiger Blood,10/8/2022 4:17,,,,,
*042nq*,24,G,Dejounte Murray,ATL,30,2024 MVP Ding Yanyuhang,10/8/2022 4:18,,,,,
*02nf1*,25,F,Anthony Davis,LAL,32,Gianni’s Secret Move,10/8/2022 4:19,,,,,
*042nm*,26,F,Pascal Siakam,TOR,40,Pizza Time 🍕,10/8/2022 4:21,,,,,
*03nwq*,27,F,Christian Wood,DAL,23,I Got You Kobe,10/8/2022 4:22,,,,,
*005kc*,28,G,Russell Westbrook,LAL/UTA/LAC,16,Pizza Time 🍕,10/8/2022 4:23,,,,,
*04ewe*,29,G,Donovan Mitchell,CLE,25,Zenkevafuck,10/8/2022 4:24,,,,,
*05uib*,30,G,Cade Cunningham,DET,23,LeBronto,10/8/2022 4:25,,,,,
*02xg9*,31,C,Rudy Gobert,MIN,32,ManchuWok,10/8/2022 4:26,,,,,
*0017e*,32,G,Chris Paul,PHO,24,Zenkevafuck,10/8/2022 4:27,,,,,
*042n7*,33,F,Domantas Sabonis,SAC,27,LeBronto,10/8/2022 4:28,,,,,
*02nf6*,34,G,Damian Lillard,POR,30,Gianni’s Secret Move,10/8/2022 4:29,,,,,
*04qro*,35,G,Shai Gilgeous-Alexander,OKC,26,Pizza Time 🍕,10/8/2022 4:31,,,,,
*04ewm*,36,C,Jarrett Allen,CLE,25,2024 MVP Ding Yanyuhang,10/8/2022 4:32,,,,,
*01eon*,37,G,DeMar DeRozan,CHI,19,Zenkevafuck,10/8/2022 4:35,,,,,
*02nf3*,38,G,Bradley Beal,WAS,22,Zenkevafuck,10/8/2022 4:36,,,,,
*027oo*,39,C,Jonas Valanciunas,NO,11,Pizza Time 🍕,10/8/2022 4:37,,,,,
*05qug*,40,G,Anthony Edwards,MIN,25,LeBronto,10/8/2022 4:38,,,,,
*01uyj*,41,F,Paul George,LAC,26,LeBronto,10/8/2022 4:40,,,,,
*03ams*,42,G,Zach LaVine,CHI,19,I Got You Kobe,10/8/2022 4:42,,,,,
*04848*,43,G,Fred VanVleet,TOR,16,SpeckledGnu,10/8/2022 4:44,,,,,
*05uie*,44,F,Scottie Barnes,TOR,23,Zenkevafuck,10/8/2022 4:45,,,,,
*03el5*,45,F,Kristaps Porzingis,WAS,16,2024 MVP Ding Yanyuhang,10/8/2022 4:46,,,,,
*04ewf*,46,C,Bam Adebayo,MIA,23,Gianni’s Secret Move,10/8/2022 4:48,,,,,
*04qs4*,47,C,Robert Williams,BOS,7,Pizza Time 🍕,10/8/2022 4:50,,,,,
*01sc8*,48,G,John Wall,LAC/HOU,7,Tiger Blood,10/8/2022 4:51,,,,,
*042n6*,49,C,Jakob Poeltl,SA/TOR,10,SpeckledGnu,10/8/2022 4:52,,,,,
*027pe*,50,F,Jimmy Butler,MIA,20,Team IAMCANADA,10/8/2022 4:53,,,,,
*03lls*,51,F,Jaylen Brown,BOS,17,SpeckledGnu,10/8/2022 4:55,,,,,
*051ol*,52,G,Darius Garland,CLE,16,SpeckledGnu,10/8/2022 4:56,,,,,
*04qrp*,53,F,Miles Bridges,CHA,8,Team IAMCANADA,10/8/2022 4:57,,,,,
