Player ID,Pick,Pos,Player,Team,Bid,Fantasy Team,Time (EDT),,,,,,,
*03e75*,1,C,Nikola Jokic,DEN,100,Pizza Time 🍕,10/21/2023 7:20,,,,,,,
*06cch*,2,F,Victor Wembanyama,SA,36,Pizza Time 🍕,10/21/2023 7:21,,,,,,,
*031m2*,3,F,Giannis Antetokounmpo,MIL,80,EpsteinsIslandBoys,10/21/2023 7:23,,,,,,,
*005kc*,4,G,Russell Westbrook,LAC,20,🚨Gianni… Fire the N Missile 🚨,10/21/2023 7:24,,,,,,,
*042n7*,5,C,Domantas Sabonis,SAC,73,Adam Silver's Sovereign Wealth Fund,10/21/2023 7:26,,,,,,,
*03xmv*,6,F,Jayson Tatum,BOS,65,The Diddler,10/21/2023 7:27,,,,,,,
*02xg9*,7,C,Rudy Gobert,MIN,24,🚨Gianni… Fire the N Missile 🚨,10/21/2023 7:29,,,,,,,
*01enh*,8,G,Stephen Curry,GS,69,SpeckledGnu,10/21/2023 7:30,,,,,,,
*042nm*,9,F,Pascal Siakam,TOR/IND,44,Big Black Coconuts,10/21/2023 7:32,,,,,,,
*04kj6*,10,G,Luka Doncic,DAL,73,Chungus Szn,10/21/2023 7:34,,,,,,,
*01uyj*,11,F,Paul George,LAC,36,The Diddler,10/21/2023 7:35,,,,,,,
*05qto*,12,G,LaMelo Ball,CHA,54,如果你讀到這篇文章你就是同性戀,10/21/2023 7:37,,,,,,,
*027pe*,13,F,Jimmy Butler,MIA,38,如果你讀到這篇文章你就是同性戀,10/21/2023 7:39,,,,,,,
*04qro*,14,G,Shai Gilgeous-Alexander,OKC,62,Deez,10/21/2023 7:41,,,,,,,
*03al2*,15,C,Joel Embiid,PHI,76,MyNword,10/21/2023 7:42,,,,,,,
*04qrk*,16,G,Trae Young,ATL,60,Deez,10/21/2023 7:43,,,,,,,
*0011e*,17,F,LeBron James,LAL,41,🚨Gianni… Fire the N Missile 🚨,10/21/2023 7:44,,,,,,,
*01eo6*,18,G,James Harden,PHI/LAC,49,Big Black Coconuts,10/21/2023 7:45,,,,,,,
*03ajv*,19,F,Julius Randle,NY,39,MyNword,10/21/2023 7:46,,,,,,,
*05qtv*,20,G,Tyrese Haliburton,IND,54,如果你讀到這篇文章你就是同性戀,10/21/2023 7:47,,,,,,,
*027oj*,21,G,Kyrie Irving,DAL,39,Chungus Szn,10/21/2023 7:49,,,,,,,
*02nf6*,22,G,Damian Lillard,MIL,64,EpsteinsIslandBoys,10/21/2023 7:51,,,,,,,
*005ki*,23,C,Brook Lopez,MIL,28,如果你讀到這篇文章你就是同性戀,10/21/2023 7:54,,,,,,,
*02nf1*,24,F,Anthony Davis,LAL,50,Big Black Coconuts,10/21/2023 7:55,,,,,,,
*001aw*,25,F,Kevin Durant,PHO,52,Stairway to Kevin,10/21/2023 7:57,,,,,,,
*03ad3*,26,C,Karl-Anthony Towns,MIN,43,The Diddler,10/21/2023 7:58,,,,,,,
*04ewe*,27,G,Donovan Mitchell,CLE,46,The Diddler,10/21/2023 7:59,,,,,,,
*049kb*,28,G,De'Aaron Fox,SAC,36,🚨Gianni… Fire the N Missile 🚨,10/21/2023 8:00,,,,,,,
*027oo*,29,C,Jonas Valanciunas,NO,21,Adam Silver's Sovereign Wealth Fund,10/21/2023 8:02,,,,,,,
*04ewf*,30,C,Bam Adebayo,MIA,31,Deez,10/21/2023 8:03,,,,,,,
*04848*,31,G,Fred VanVleet,HOU,24,🚨Gianni… Fire the N Missile 🚨,10/21/2023 8:03,,,,,,,
*027p0*,32,C,Nikola Vucevic,CHI,46,EpsteinsIslandBoys,10/21/2023 8:04,,,,,,,
*03lls*,33,F,Jaylen Brown,BOS,34,MyNword,10/21/2023 8:06,,,,,,,
*03ams*,34,G,Zach LaVine,CHI,33,SpeckledGnu,10/21/2023 8:07,,,,,,,
*05uii*,35,F,Franz Wagner,ORL,24,Pizza Time 🍕,10/21/2023 8:09,,,,,,,
*027oz*,36,F,Kawhi Leonard,LAC,25,🚨Gianni… Fire the N Missile 🚨,10/21/2023 8:10,,,,,,,
