ID,Player,Team,Position,Status,Opponent,FPts,FP/G,GP,FG-,3PTM,FT-,PTS,OREB,REB,AST,ST,BLK,TO,TF,EJ,3D,2D
*03e75*,Nikola Jokic,DEN,"C,Flx",DBD,,8112,102.68,79,589,83,80,"2,085",223,976,708,108,68,237,7,2,25,68
*04kj6*,Luka Doncic,LAL,"G,Flx",MylS,,7465,106.64,70,848,284,130,"2,370",59,647,686,99,38,282,15,0,21,49
*042n7*,Domantas Sabonis,SAC,"C,Flx",PRO,,7241,88.3,82,434,33,123,"1,593",294,"1,120",673,74,48,272,1,0,26,77
*031m2*,Giannis Antetokounmpo,MIL,"F,C,Flx",TRH,,7044,96.49,73,532,34,268,"2,222",196,841,476,87,79,250,5,1,10,57
*02nf1*,Anthony Davis,DAL,"F,C,Flx",Tribunal,,6741,88.7,76,570,29,95,"1,876",239,961,266,91,178,159,3,0,2,64
*04qro*,Shai Gilgeous-Alexander,OKC,"G,Flx",Fent,,6495,86.6,75,691,95,82,"2,254",65,415,465,150,67,162,0,0,0,8
*0011e*,LeBron James,LAL,"F,Flx",15,,5966,84.03,71,584,149,101,"1,822",61,518,589,89,38,245,4,0,5,27
*06cch*,Victor Wembanyama,SA,"C,Flx",FA,,5760,81.13,71,635,128,75,"1,522",161,755,274,88,254,260,2,0,2,43
*03xmv*,Jayson Tatum,BOS,"F,Flx",ROMO,,5693,76.93,74,754,229,83,"1,987",67,601,364,75,43,188,10,2,0,25
*001aw*,Kevin Durant,HOU,"F,Flx",BabyOil,,5612,74.83,75,685,168,61,"2,032",41,495,378,69,91,244,6,0,1,14
*05qtv*,Tyrese Haliburton,IND,"G,Flx",15,,5609,81.29,69,548,195,33,"1,389",35,271,752,83,48,159,1,0,1,44
*04qsa*,Jalen Brunson,NY,"G,Flx",J&J,,5545,72.01,77,858,211,76,"2,212",43,278,519,70,13,186,2,0,0,9
*049kb*,DeAaron Fox,SA,"G,Flx",FA,,5406,73.05,74,829,214,111,"1,966",67,340,418,150,31,194,10,0,0,6
*042nq*,Dejounte Murray,NO,"G,Flx",420,,5289,67.81,78,791,201,54,"1,753",62,416,502,111,24,201,4,0,1,20
*05qug*,Anthony Edwards,MIN,"G,F,Flx",TRUMP,,5270,66.71,79,840,190,83,"2,049",52,430,405,101,42,241,15,0,0,9
*01enh*,Stephen Curry,GS,"G,Flx",TRUMP,,5234,70.73,74,795,357,25,"1,956",37,330,379,54,28,210,2,0,0,7
*06211*,Chet Holmgren,OKC,"F,C,Flx",Fent,,5081,61.96,82,448,129,57,"1,357",129,648,200,53,190,131,0,0,0,23
*02nf6*,Damian Lillard,POR,"G,Flx",BabyOil,,5045,69.11,73,736,220,41,"1,775",36,320,508,72,18,193,3,0,0,12
*02xg9*,Rudy Gobert,MIN,"C,Flx",Fent,,5036,66.26,76,208,0,141,"1,061",285,982,102,52,162,118,4,0,0,54
*04848*,Fred VanVleet,HOU,"G,Flx",Tribunal,,4977,68.18,73,595,227,32,"1,270",33,278,589,101,59,126,8,0,0,20
*01eo6*,James Harden,LAC,"G,Flx",Sar,,4974,69.08,72,470,186,42,"1,192",34,369,614,77,57,185,2,0,3,23
*042nm*,Pascal Siakam,IND,"F,Flx",Sar,,4970,62.12,80,590,85,106,"1,737",139,565,342,63,25,141,4,0,1,15
