Player ID,Pick,Pos,Player,Team,Bid,Fantasy Team,Time (EDT),GP,FG-,3PTM,FT-,PTS,OREB,REB,AST,ST,BLK,TO,TF,EJ,3D,2D
*031m2*,1,F,Giannis Antetokounmpo,MIL,71,The Retirement Home,10/18/2024 7:10,64,530,121,79,"1,872",186,820,653,113,43,209,1,0,30,54
*06cch*,2,C,Victor Wembanyama,SA,91,The Retirement Home,10/18/2024 7:11,71,740,151,64,"2,334",63,360,448,124,71,175,1,0,0,5
*03xmv*,3,F,Jayson Tatum,BOS,60,Rudy Homo,10/18/2024 7:14,61,482,9,252,"1,845",139,726,362,51,72,196,0,0,7,49
*051oh*,4,F,Zion Williamson,NO,37,P Diddy’s Slip & Slide,10/18/2024 7:16,67,745,238,78,"1,820",45,583,401,73,35,199,11,0,2,30
*03e75*,5,C,Nikola Jokic,DEN,101,Diddled By Diddy,10/18/2024 7:17,67,542,138,65,"1,626",199,859,210,68,48,174,3,0,1,53
*05uig*,6,G,Josh Giddey,CHI,19,15 Dream Team,10/18/2024 7:18,71,696,216,65,"1,601",48,412,611,101,48,311,1,0,2,32
*04kj6*,7,G,Luka Doncic,DAL/LAL,94,Weinstein Wranglers,10/18/2024 7:19,63,567,135,68,"1,546",67,512,533,61,36,241,1,0,10,32
*001aw*,8,F,Kevin Durant,PHO,48,P Diddy’s Slip & Slide,10/18/2024 7:21,66,736,141,49,"1,698",53,405,609,68,49,295,10,1,9,30
*01enh*,9,G,Stephen Curry,GS,49,Kamala's Gunz,10/18/2024 7:22,62,323,58,67,"1,172",232,865,379,40,24,182,1,0,9,54
*051ot*,10,G,Tyler Herro,MIA,18,The Retirement Home,10/18/2024 7:23,72,818,287,73,"1,957",56,411,329,81,44,231,17,1,0,6
*042n7*,11,C,Domantas Sabonis,SAC,83,President of Retarded Operations,10/18/2024 7:24,69,737,194,64,"1,660",32,217,796,81,11,330,13,0,0,45
*027oo*,12,C,Jonas Valanciunas,WAS/SAC,29,Weinstein Wranglers,10/18/2024 7:24,67,493,202,27,"1,248",38,237,611,101,40,109,1,0,0,27
*04qrk*,13,G,Trae Young,ATL,48,Stevens Underaged Experience,10/18/2024 7:26,71,333,77,43,982,152,687,415,106,27,143,8,1,9,32
*04qro*,14,G,Shai Gilgeous-Alexander,OKC,92,Give me the fentanyl,10/18/2024 7:28,72,320,0,76,"1,183",265,898,181,51,87,118,2,0,0,51
*027oz*,15,F,Kawhi Leonard,LAC,40,Rudy Homo,10/18/2024 7:29,71,537,21,123,"1,358",246,744,345,80,58,183,6,1,4,43
*03al2*,16,C,Joel Embiid,PHI,57,Epstein Experience,10/18/2024 7:30,69,696,175,48,"1,748",67,281,486,65,14,197,5,0,0,14
*05uie*,17,F,Scottie Barnes,TOR,48,Kamala's Gunz,10/18/2024 7:32,71,672,239,38,"1,681",30,366,396,61,16,182,5,1,0,9
*03ad3*,18,C,Karl-Anthony Towns,NY,34,P Diddy’s Slip & Slide,10/18/2024 7:33,72,517,64,71,"1,262",174,695,309,91,49,155,1,0,1,35
*027oj*,19,G,Kyrie Irving,DAL,36,Shaq's Anus Ripples,10/18/2024 7:35,62,532,160,58,"1,647",23,374,263,50,77,190,6,0,0,5
*02nf6*,20,G,Damian Lillard,MIL,38,P Diddy’s Slip & Slide,10/18/2024 7:36,66,367,76,75,"1,225",148,612,204,53,106,134,0,0,0,34
*04ewe*,21,G,Donovan Mitchell,CLE,43,President of Retarded Operations,10/18/2024 7:38,73,528,120,76,"1,496",123,508,246,63,37,105,2,0,0,10
*042nm*,22,F,Pascal Siakam,IND,31,Give me the fentanyl,10/18/2024 7:40,68,708,223,59,"1,629",54,307,336,91,13,140,1,0,0,6
*051oi*,23,G,Ja Morant,MEM,32,Shaq's Anus Ripples,10/18/2024 7:42,62,610,270,19,"1,485",32,268,374,68,27,178,1,0,0,8
*02ng3*,24,F,Khris Middleton,MIL/WAS,17,Give me the fentanyl,10/18/2024 7:43,66,442,119,27,"1,226",154,663,225,55,44,105,7,0,1,40
*05qtv*,25,G,Tyrese Haliburton,IND,49,15 Dream Team,10/18/2024 7:44,75,176,0,72,"1,035",199,749,144,72,70,87,0,1,0,39
*03e6u*,26,G,Bogdan Bogdanovic,ATL/LAC,10,The Retirement Home,10/18/2024 7:46,58,548,197,31,"1,447",29,272,410,70,10,162,1,0,2,14
*03lls*,27,F,Jaylen Brown,BOS,27,15 Dream Team,10/18/2024 7:47,70,580,199,28,"1,445",43,201,468,85,11,178,6,0,0,6
*02nf1*,28,F,Anthony Davis,LAL/DAL,55,Kevin O’Leary,10/18/2024 7:48,46,449,142,31,"1,116",82,506,168,52,176,149,1,0,1,28
*06211*,29,C,Chet Holmgren,OKC,40,Give me the fentanyl,10/18/2024 7:50,61,580,140,74,"1,606",25,181,452,58,6,153,1,0,0,13
*06mk1*,30,C,Zach Edey,MEM,18,Weinstein Wranglers,10/18/2024 7:52,65,573,154,27,"1,405",43,249,393,91,33,133,2,1,0,5
