ID,Player,Team,Position,RkOv,Status,FPts,FP/G,GP,FG-,3PTM,FT-,PTS,OREB,REB,AST,ST,BLK,TO,TF,EJ,3D,2D
*03e75*,Nikola Jokic,DEN,"C,Flx",1,FA,8154,116.49,70,578,138,90,"2,071",200,892,716,127,45,230,1,0,34,59
*04qro*,Shai Gilgeous-Alexander,OKC,"G,Flx",2,FA,6826,89.82,76,796,163,68,"2,484",67,379,486,131,77,183,1,0,0,6
*031m2*,Giannis Antetokounmpo,MIL,"F,C,Flx",3,FA,6295,93.96,67,526,14,271,"2,036",147,798,433,58,78,206,1,0,11,55
*01eo6*,James Harden,LAC,"G,Flx",4,FA,6128,77.57,79,764,235,73,"1,802",55,456,687,118,55,341,1,0,3,38
*03ad3*,Karl-Anthony Towns,NY,"C,Flx",5,FA,5896,81.89,72,576,142,70,"1,759",212,920,222,71,50,192,3,0,1,58
*04qrk*,Trae Young,ATL,"G,Flx",6,FA,5804,76.37,76,810,218,70,"1,841",36,236,880,91,12,355,13,0,0,51
*042n7*,Domantas Sabonis,SAC,"C,Flx",7,FA,5772,82.46,70,366,65,71,"1,337",267,972,423,48,26,202,1,0,10,61
*03xmv*,Jayson Tatum,BOS,"F,Flx",8,FA,5749,79.85,72,803,250,82,"1,932",48,623,431,76,38,209,13,0,2,31
*05qug*,Anthony Edwards,MIN,"G,F,Flx",9,FA,5655,71.58,79,891,320,81,"2,177",61,450,359,91,51,249,17,1,0,7
*0011e*,LeBron James,LAL,"F,Flx",10,FA,5624,80.34,70,619,149,72,"1,710",72,546,575,70,39,260,1,0,10,32
*05qtv*,Tyrese Haliburton,IND,"G,Flx",11,FA,5560,76.16,73,530,218,33,"1,359",42,258,673,105,49,120,1,0,0,31
*042nt*,Ivica Zubac,LAC,"C,Flx",12,FA,5522,69.03,80,350,0,80,"1,340",300,"1,010",214,55,90,127,2,0,1,59
*05uib*,Cade Cunningham,DET,"G,Flx",13,FA,5396,77.09,70,773,149,57,"1,830",56,425,638,71,53,309,10,1,9,31
*04ewu*,Josh Hart,NY,"G,F,Flx",14,FA,5152,66.91,77,366,84,46,"1,051",161,737,453,119,27,158,8,1,9,34
*04ewf*,Bam Adebayo,MIA,"F,C,Flx",15,FA,5150,66.03,78,573,79,77,"1,409",185,749,337,98,53,161,1,0,1,38
*03nwm*,Devin Booker,PHO,"G,F,Flx",16,FA,5139,68.52,75,766,183,51,"1,923",76,305,529,67,16,220,6,0,0,16
*051ot*,Tyler Herro,MIA,"G,Flx",17,FA,5124,66.55,77,727,251,40,"1,840",35,399,424,69,17,198,5,1,0,9
*05uiq*,Alperen Sengun,HOU,"C,Flx",18,FA,5123,67.41,76,576,21,132,"1,451",262,786,372,84,61,194,6,1,4,45
*01enh*,Stephen Curry,GS,"G,Flx",19,FA,5114,73.06,70,694,311,20,"1,718",40,310,421,80,30,200,1,0,0,9
*027p0*,Nikola Vucevic,CHI,"C,Flx",20,FA,4970,68.08,73,488,129,29,"1,349",178,735,256,61,52,119,7,0,1,45
*05uid*,Evan Mobley,CLE,"F,C,Flx",21,FA,4837,68.13,71,401,85,84,"1,316",164,659,226,61,113,145,0,0,0,37
*04ewm*,Jarrett Allen,CLE,"C,Flx",22,FA,4746,57.88,82,188,0,78,"1,103",216,798,158,77,73,97,0,1,0,40
*042nm*,Pascal Siakam,IND,"F,Flx",23,FA,4718,60.49,78,569,126,82,"1,578",133,540,263,70,42,109,2,0,0,11
*06217*,Dyson Daniels,ATL,"G,F,Flx",24,FA,4716,62.05,76,468,80,57,"1,073",124,449,333,229,55,155,3,0,0,9
*04ewe*,Donovan Mitchell,CLE,"G,Flx",25,FA,4688,66.03,71,735,233,64,"1,701",57,322,354,95,17,149,1,0,0,6
*051ol*,Darius Garland,CLE,"G,Flx",26,FA,4644,61.92,75,620,212,31,"1,544",47,214,506,91,11,189,7,0,0,7
*05uig*,Josh Giddey,CHI,"G,Flx",27,FA,4594,65.63,70,427,105,49,"1,022",127,566,503,84,45,202,5,0,7,30
*05uus*,Austin Reaves,LAL,"G,F,Flx",28,FA,4575,62.67,73,560,200,45,"1,475",61,329,421,81,22,177,6,1,1,9
*04ewt*,Derrick White,BOS,"G,Flx",29,FA,4527,59.57,76,535,265,26,"1,248",67,341,361,72,80,131,1,0,0,4
*03ams*,Zach LaVine,SAC,"G,F,Flx",30,FA,4505,60.88,74,598,239,50,"1,724",22,315,310,58,12,208,0,0,0,6
*0621c*,Jalen Duren,DET,"C,Flx",31,FA,4486,57.51,78,168,0,80,918,277,807,209,54,89,136,4,0,0,41
*0621b*,Jalen Williams,OKC,"G,F,Flx",32,FA,4480,64.93,69,603,124,63,"1,490",59,369,354,111,46,150,4,0,0,3
*04qrj*,Jaren Jackson,MEM,"F,C,Flx",33,FA,4464,60.32,74,621,146,87,"1,641",91,417,148,92,113,153,3,0,0,6
