ID,Player,Team,Position,RkOv,Status,FPts,FP/G
*06mju*,Alex Sarr,WAS,"F,C,Flx",15,BALL,664,66.4
*06mkg*,Kyshawn George,WAS,"G,F,Flx",60,9/11ST,507,56.33
*031lx*,CJ McCollum,WAS,"G,Flx",116,9/11ST,379,37.9
*06v58*,Tre Johnson,WAS,"G,Flx",163,PartyMar,306,30.6
*049ki*,Marvin Bagley,WAS,"F,C,Flx",189,FA,281,28.1
*06mk6*,Carlton Carrington,WAS,"G,Flx",192,FA,272,27.2
*05uip*,Corey Kispert,WAS,"F,Flx",198,FA,256,25.6
*02ng3*,Khris Middleton,WAS,"F,Flx",217,FA,231,33
*06ca7*,Cam Whitmore,WAS,"F,Flx",240,FA,190,19
*06cc1*,Bilal Coulibaly,WAS,"F,Flx",266,420,148,37
*05uud*,Justin Champagnie,WAS,"F,Flx",265,FA,148,16.44
*06v59*,Will Riley,WAS,"F,Flx",323,FA,73,9.12
*06ccu*,Tristan Vukcevic,WAS,"C,Flx",335,FA,64,8
*0621j*,Malaki Branham,WAS,"G,Flx",353,FA,50,16.67
*06v89*,Jamir Watkins,WAS,"G,Flx",399,FA,25,8.33
*05qv9*,Anthony Gill,WAS,"F,Flx",401,FA,24,4.8
*06mkf*,AJ Johnson,WAS,"G,Flx",413,FA,17,2.43
*04qsl*,Issuf Sanon,WAS,"G,Flx",1449,FA,0,0
*05ujm*,Sharife Cooper,WAS,"G,Flx",1702,FA,-2,-1
*04azw*,Lauri Markkanen,UTA,"F,Flx",24,TRUMP,606,67.33
*06cby*,Keyonte George,UTA,"G,Flx",35,UBER,549,61
*0621l*,Walker Kessler,UTA,"C,Flx",122,FA,364,72.8
*03e6n*,Jusuf Nurkic,UTA,"C,Flx",127,GOD,357,39.67
*04qsn*,Svi Mykhailiuk,UTA,"F,Flx",187,FA,282,31.33
*06mle*,Kyle Filipowski,UTA,"F,C,Flx",203,Penta,248,27.56
*06v56*,Walter Clayton,UTA,"G,Flx",214,FA,233,25.89
*06cc0*,Taylor Hendricks,UTA,"F,Flx",252,FA,170,18.89
*06v57*,Ace Bailey,UTA,"G,F,Flx",258,FA,154,17.11
*06cbz*,Brice Sensabaugh,UTA,"F,Flx",262,FA,150,18.75
*005kd*,Kevin Love,UTA,"F,Flx",326,FA,72,18
*03aq3*,Kyle Anderson,UTA,"F,Flx",331,FA,66,22
*06qdz*,Elijah Harkless,UTA,"G,Flx",347,FA,54,10.8
*06mk2*,Cody Williams,UTA,"G,Flx",357,FA,46,9.2
*06mkl*,Isaiah Collier,UTA,"G,Flx",417,FA,15,15
*042o9*,Georges Niang,UTA,"F,Flx",1287,FA,0,0
*06cef*,Oscar Tshiebwe,UTA,"C,Flx",1582,FA,0,0
*06v8j*,John Tonje,UTA,"G,Flx",1570,FA,0,0
*03kuc*,Jerrelle Benimon,UTA,"F,Flx",541,FA,0,0
*04lci*,Erik McCree,UTA,"F,Flx",1192,FA,0,0
*031mw*,Erick Green,UTA,"G,Flx",895,FA,0,0
*05uie*,Scottie Barnes,TOR,"F,Flx",8,UBER,734,73.4
*051oj*,RJ Barrett,TOR,"G,F,Flx",27,9/11ST,594,59.4
*042n1*,Brandon Ingram,TOR,"F,Flx",31,420,572,57.2
*05qu9*,Immanuel Quickley,TOR,"G,Flx",45,Bomb,534,53.4
*05ujs*,Sandro Mamukelashvili,TOR,"F,C,Flx",152,FA,322,32.2
*06mlr*,Jamal Shead,TOR,"G,Flx",154,FA,318,31.8
*06v5a*,Collin Murray-Boyles,TOR,"F,Flx",202,FA,250,31.25
*06cc2*,Gradey Dick,TOR,"G,F,Flx",231,FA,200,20
*042n6*,Jakob Poeltl,TOR,"C,Flx",232,TRUMP,197,32.83
*06q2e*,Jamison Battle,TOR,"F,Flx",279,FA,120,15
*0621d*,Ochai Agbaji,TOR,"G,F,Flx",296,FA,102,11.33
*06mkb*,JaKobe Walter,TOR,"G,Flx",333,FA,65,9.29
*06mld*,Jonathan Mogbo,TOR,"F,C,Flx",351,FA,51,8.5
*06v85*,Alijah Martin,TOR,"G,Flx",1164,FA,0,0
