PlayerName,Position,MarketValue,PPS,S1 FP/G,S2 FP/G,S3 FP/G,S4 FP/G,S5 FP/G,S6 FP/G,S7 FP/G,S8 FP/G,S9 FP/G,S10 FP/G,S11 FP/G,S12 FP/G,S1 GP,S2 GP,S3 GP,S4 GP,S5 GP,S6 GP,S7 GP,S8 GP,S9 GP,S10 GP,S11 GP,S12 GP
Nikola Jokic,"C,Flx",101.0,108.53688666666667,103.11,101.22,102.68,116.49,,,,,,,,,74.0,69.0,79.0,70.0,,,,,,,,
Giannis Antetokounmpo,"F,C,Flx",74.0,84.55275,93.58,87.51,96.49,93.96,,,,,,,,,67.0,63.0,73.0,67.0,,,,,,,,
Domantas Sabonis,"C,Flx",75.0,81.97847,74.31,82.63,88.3,82.46,,,,,,,,,62.0,79.0,82.0,70.0,,,,,,,,
Shai Gilgeous-Alexander,"G,Flx",78.0,80.64008333333332,65.86,79.38,86.6,89.82,,,,,,,,,56.0,68.0,75.0,76.0,,,,,,,,
Jayson Tatum,"F,Flx",60.0,78.33146666666666,72.74,82.55,76.93,79.85,,,,,,,,,76.0,74.0,74.0,72.0,,,,,,,,
Luka Doncic,"G,Flx",86.0,77.95809,87.35,93.95,106.64,87.88,,,,,,,,,65.0,66.0,70.0,50.0,,,,,,,,
Tyrese Haliburton,"G,Flx",50.0,71.52245833333332,66.49,81.98,81.29,76.16,,,,,,,,,77.0,56.0,69.0,73.0,,,,,,,,
Trae Young,"G,Flx",51.0,71.12965500000001,79.62,72.68,78.3,76.37,,,,,,,,,76.0,73.0,54.0,76.0,,,,,,,,
Anthony Edwards,"G,F,Flx",43.0,69.7575,58.72,65.53,66.71,71.58,,,,,,,,,72.0,79.0,79.0,79.0,,,,,,,,
James Harden,"G,Flx",44.0,69.40283,82.25,82.98,69.08,77.57,,,,,,,,,65.0,58.0,72.0,79.0,,,,,,,,
LeBron James,"F,Flx",42.0,68.36802,89.38,81.62,84.03,80.34,,,,,,,,,56.0,55.0,71.0,70.0,,,,,,,,
Jalen Brunson,"G,Flx",27.0,66.43002166666668,47.95,63.53,72.01,68.62,,,,,,,,,79.0,68.0,77.0,65.0,,,,,,,,
Nikola Vucevic,"C,Flx",31.0,66.42800000000001,63.68,65.16,62.64,68.08,,,,,,,,,73.0,82.0,76.0,73.0,,,,,,,,
Stephen Curry,"G,Flx",54.0,64.83092,75.97,85.0,70.73,73.06,,,,,,,,,64.0,56.0,74.0,70.0,,,,,,,,
Alperen Sengun,"C,Flx",23.0,64.04445666666666,37.32,58.08,70.22,67.41,,,,,,,,,72.0,75.0,63.0,76.0,,,,,,,,
Anthony Davis,"F,C,Flx",51.0,62.880796666666654,74.22,85.46,88.7,82.88,,,,,,,,,40.0,56.0,76.0,51.0,,,,,,,,
Ivica Zubac,"C,Flx",3.0,61.758,44.72,47.46,48.57,69.03,,,,,,,,,76.0,76.0,68.0,80.0,,,,,,,,
Bam Adebayo,"F,C,Flx",29.0,61.53513333333333,65.91,62.76,66.94,66.03,,,,,,,,,56.0,75.0,71.0,78.0,,,,,,,,
Pascal Siakam,"F,Flx",35.0,61.257735,70.35,70.28,62.12,60.49,,,,,,,,,68.0,71.0,80.0,78.0,,,,,,,,
Devin Booker,"G,F,Flx",35.0,61.18771999999999,66.57,67.96,72.79,68.52,,,,,,,,,68.0,53.0,68.0,75.0,,,,,,,,
Scottie Barnes,"F,Flx",37.0,60.93252,53.68,53.86,73.73,65.25,,,,,,,,,74.0,77.0,60.0,65.0,,,,,,,,
De'Aaron Fox,Flx,34.0,60.693960000000004,56.37,65.77,73.05,66.31,,,,,,,,,59.0,73.0,74.0,62.0,,,,,,,,
Donovan Mitchell,"G,Flx",42.0,60.571575,67.21,73.03,77.6,66.03,,,,,,,,,67.0,68.0,55.0,71.0,,,,,,,,
Karl-Anthony Towns,"C,Flx",39.0,59.868570000000005,76.89,65.62,63.97,81.89,,,,,,,,,74.0,29.0,62.0,72.0,,,,,,,,
Evan Mobley,"F,C,Flx",21.0,58.901585000000004,52.97,58.2,62.34,68.13,,,,,,,,,69.0,79.0,50.0,71.0,,,,,,,,
Tyrese Maxey,"G,Flx",26.0,58.73435166666666,49.55,51.87,69.21,70.88,,,,,,,,,75.0,60.0,70.0,52.0,,,,,,,,
