"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","FG-","3PTM","FT-","PTS","OREB","REB","AST","ST","BLK","TO","TF","EJ","3D","2D"
"*01eo6*","James Harden","LAC","G,Flx","1","ASS","ATL Mon 10:30PM","6705","98.6","100%","0%","68","842.0","299","108","2,335","70","446","512","125","60","308","5","0","4","22"
"*031m2*","Giannis Antetokounmpo","MIL","F,C,Flx","2","HAIRY","@DAL Mon 8:30PM","5928","94.1","100%","0%","63","553.0","89","231","1,857","140","856","354","61","66","230","4","0","4","56"
"*0011e*","LeBron James","LAL","F,Flx","3","420","@CHA Mon 7:00PM","5833","87.06","98%","0%","67","660.0","148","117","1,698","66","525","684","78","36","261","2","0","13","46"
"*02nf6*","Damian Lillard","POR","G,Flx","4","FA","@ORL Mon 7:00PM","5603","84.89","37%","-0.1%","66","725.0","270","58","1,978","33","284","530","70","22","194","7","0","1","19"
"*03e75*","Nikola Jokic","DEN","C,Flx","5","PartyMar","","5597","76.67","100%","0%","73","506.0","80","55","1,456","166","711","512","85","44","226","3","0","13","43"
"*04kj6*","Luka Doncic","LAL","G,Flx","6","ASS","@CHA Mon 7:00PM","5395","88.44","100%","0%","61","674.0","171","136","1,759","78","573","538","62","14","260","9","0","17","39"
"*02nf1*","Anthony Davis","DAL","F,C,Flx","7","9/11FT","MIL Mon 8:30PM","5091","82.11","99%","-0.2%","62","545.0","72","81","1,618","142","577","200","91","143","154","2","0","0","29"
"*04ewf*","Bam Adebayo","MIA","F,C,Flx","8","GN","CLE Mon 7:30PM","4846","67.31","100%","0%","72","350.0","2","118","1,146","176","735","368","82","93","204","0","0","3","40"
"*04qrk*","Trae Young","ATL","G,Flx","9","9/11ST","@LAC Mon 10:30PM","4799","79.98","99%","-0.6%","60","703.0","205","78","1,778","32","255","560","65","8","289","11","0","2","28"
"*02xg9*","Rudy Gobert","MIN","C,Flx","10","HAIRY","@UTA Mon 9:00PM","4630","68.09","98%","-0.3%","68","171.0","0","149","1,026","230","916","101","51","135","130","11","1","0","49"
"*03nwm*","Devin Booker","PHO","G,F,Flx","11","HAIRY","NO Mon 9:00PM","4597","65.67","100%","+0.1%","70","656.0","141","41","1,863","29","297","456","49","18","264","10","1","0","11"
"*042n7*","Domantas Sabonis","SAC","C,Flx","12","Bomb","","4406","71.06","100%","0%","62","390.0","17","82","1,147","189","771","310","47","30","170","0","0","4","50"
"*027oz*","Kawhi Leonard","LAC","F,Flx","13","Penta","ATL Mon 10:30PM","4403","77.25","98%","-0.1%","57","601.0","123","46","1,543","54","402","280","103","33","149","1","0","1","13"
"*0017e*","Chris Paul","LAC","G,Flx","14","FA","ATL Mon 10:30PM","4403","62.01","46%","-5.1%","71","453.0","111","26","1,232","26","349","472","111","11","161","5","0","0","10"
"*02nf9*","Andre Drummond","PHI","C,Flx","15","FA","","4348","76.28","31%","+4.9%","57","366.0","5","125","1,010","250","864","152","109","93","203","10","1","0","47"
"*03xmv*","Jayson Tatum","BOS","F,Flx","16","FA","","4312","65.33","66%","-0.7%","66","674.0","189","59","1,547","64","460","200","93","57","155","7","0","0","10"
"*027p0*","Nikola Vucevic","CHI","C,Flx","17","9/11ST","SA Mon 8:00PM","4236","68.32","100%","0%","62","540.0","98","36","1,215","140","673","222","54","47","88","4","0","0","41"
"*02nf3*","Bradley Beal","LAC","G,Flx","18","FA","ATL Mon 10:30PM","4179","73.32","78%","-5%","57","710.0","170","72","1,741","52","242","347","71","23","194","8","1","0","8"
"*005kc*","Russell Westbrook","SAC","G,Flx","19","9/11FT","","4140","72.63","84%","+13%","57","677.0","55","90","1,553","100","451","401","93","20","255","14","2","8","22"
"*03lg1*","Ben Simmons","(N/A)","G,Flx","20","FA","","4123","72.33","11%","-1.3%","57","272.0","2","113","937","113","444","455","119","33","200","6","0","6","31"
