PlayerName,Position,MarketValue,PPS
Nikola Jokic,"C,Flx",101.0,106.39173913043476
Shai Gilgeous-Alexander,"G,Flx",60.0,76.64828985507246
Giannis Antetokounmpo,"F,C,Flx",77.0,76.11920289855072
Domantas Sabonis,"F,C,Flx",61.0,73.54017391304346
Jayson Tatum,"F,Flx",57.0,72.09
Luka Doncic,"G,Flx",79.0,66.84948985507245
Anthony Edwards,"G,F,Flx",37.0,63.56057101449275
LeBron James,"F,Flx",44.0,63.53035652173913
Tyrese Haliburton,"G,Flx",50.0,62.30352173913043
James Harden,"G,Flx",48.0,61.43010434782607
Trae Young,"G,Flx",52.0,61.19661449275362
Jalen Brunson,"G,Flx",18.0,59.75150434782607
Nikola Vucevic,"C,Flx",37.0,59.4864
Alperen Sengun,"C,Flx",14.0,58.2373304347826
Josh Hart,"G,F,Flx",2.0,57.08808260869564
Stephen Curry,"G,Flx",57.0,57.07053913043478
Ivica Zubac,"C,Flx",2.0,56.864556521739125
Karl-Anthony Towns,"F,C,Flx",45.0,56.545799999999986
Anthony Davis,"F,C,Flx",46.0,55.05963768115941
Scottie Barnes,"G,F,Flx",28.0,55.0192231884058
Pascal Siakam,"F,C,Flx",38.0,54.697623188405785
Derrick White,"G,Flx",7.0,54.572236231884055
De'Aaron Fox,Flx,29.0,54.51930000000001
Tyrese Maxey,"G,Flx",17.0,54.38219855072463
Evan Mobley,"F,C,Flx",18.0,54.26070869565216
Devin Booker,"G,F,Flx",33.0,53.86886956521738
Franz Wagner,"G,F,Flx",14.0,53.76639130434782
Bam Adebayo,"F,C,Flx",28.0,53.48052173913043
Josh Giddey,"G,F,Flx",11.0,53.28092753623188
Donovan Mitchell,"G,Flx",38.0,53.244181159420286
Jaren Jackson,"F,C,Flx",14.0,52.805530434782604
Kevin Durant,"F,Flx",54.0,52.611734782608686
Damian Lillard,"G,Flx",44.0,51.56081739130433
Jarrett Allen,"C,Flx",23.0,51.30253333333333
DeMar DeRozan,"G,F,Flx",17.0,50.6403188405797
Mikal Bridges,"G,F,Flx",12.0,49.806521739130424
Jordan Poole,"G,Flx",8.0,49.64058260869564
Austin Reaves,"G,F,Flx",3.0,49.391833333333324
Deni Avdija,"G,F,Flx",1.0,49.378544927536225
Dejounte Murray,"G,Flx",29.0,49.054376811594196
Darius Garland,"G,Flx",12.0,48.96398260869565
Cade Cunningham,"G,Flx",26.0,48.96339130434782
Jaylen Brown,"G,F,Flx",26.0,48.30788405797101
Tyler Herro,"G,Flx",7.0,48.17375652173912
Julius Randle,"F,C,Flx",24.0,47.8632
Rudy Gobert,"C,Flx",26.0,47.67354347826086
Isaiah Hartenstein,"C,Flx",1.0,46.88324637681159
Jalen Green,"G,Flx",3.0,46.552107246376806
Desmond Bane,"G,F,Flx",10.0,46.54454057971014
Coby White,"G,Flx",6.0,46.40716956521739
Jakob Poeltl,"C,Flx",8.0,45.75107246376811
RJ Barrett,"G,F,Flx",9.0,45.74086956521739
Russell Westbrook,"G,Flx",13.0,45.219679710144916
Fred VanVleet,"G,Flx",21.0,43.94486956521738
Naz Reid,"F,C,Flx",1.0,43.65697391304347
Zach LaVine,"G,F,Flx",22.0,43.599834782608696
John Collins,"F,C,Flx",4.0,43.216523188405795
Trey Murphy,"F,Flx",0.0,43.135947826086955
Myles Turner,"C,Flx",8.0,43.07857536231884
Jimmy Butler,"F,Flx",28.0,42.32904637681159
CJ McCollum,"G,Flx",7.0,42.32369275362318
Daniel Gafford,"F,C,Flx",6.0,41.5095652173913
Tobias Harris,"F,Flx",9.0,41.3429608695652
P.J. Washington,"F,Flx",1.0,40.77289855072464
Kristaps Porzingis,"F,C,Flx",19.0,40.605228985507246
Malik Beasley,"G,F,Flx",0.0,40.55112173913043
Onyeka Okongwu,"C,Flx",1.0,40.537840579710135
Jonas Valanciunas,"C,Flx",20.0,40.298127536231874
Kyrie Irving,"G,Flx",34.0,40.27448115942028
Immanuel Quickley,"G,Flx",8.0,40.107956521739126
Jalen Williams,"G,F,C,Flx",9.0,39.92574492753623
Joel Embiid,"C,Flx",67.0,39.884275362318846
LaMelo Ball,"G,Flx",50.0,39.67968115942028
Tyus Jones,"G,Flx",1.0,39.453843478260865
Anfernee Simons,"G,Flx",6.0,39.1002536231884
Chris Paul,"G,Flx",10.0,38.432126086956515
Norman Powell,"G,F,Flx",0.0,38.379159420289845
OG Anunoby,"G,F,Flx",11.0,38.344528985507246
Bobby Portis,"F,C,Flx",2.0,38.184452173913044
Michael Porter,"F,Flx",3.0,38.09240579710144
Miles Bridges,"F,Flx",8.0,37.815586956521734
Andrew Wiggins,"F,Flx",1.0,37.06317826086956
Lauri Markkanen,"F,Flx",19.0,37.03099565217391
Paolo Banchero,"F,Flx",19.0,36.97279130434783
Jalen Johnson,"G,Flx",8.0,36.96152463768116
Cameron Johnson,"F,Flx",1.0,36.929088405797096
Dennis Schroder,"G,Flx",5.0,36.92473333333332
Walker Kessler,"C,Flx",6.0,36.66944927536232
Devin Vassell,"G,F,Flx",5.0,36.47040724637681
Jamal Murray,"G,Flx",16.0,36.30950144927536
D'Angelo Russell,Flx,10.0,36.253130434782605
Jrue Holiday,"G,Flx",16.0,36.22319130434782
Kelly Oubre Jr.,"G,F,Flx",0.0,36.16289275362318
Nicolas Claxton,"C,Flx",6.0,36.02573913043478
Aaron Gordon,"F,Flx",3.0,35.75908405797101
Brook Lopez,"C,Flx",11.0,35.60534347826086
Buddy Hield,"G,F,Flx",2.0,35.54782608695652
Deandre Ayton,"C,Flx",12.0,35.24021159420289
Paul George,"G,F,Flx",29.0,34.910924637681156
Harrison Barnes,"F,Flx",1.0,34.81994202898551
Draymond Green,"F,C,Flx",5.0,34.80667826086956
Clint Capela,"C,Flx",3.0,34.5009652173913
Mike Conley,"G,Flx",2.0,34.201513043478265
Spencer Dinwiddie,"G,Flx",1.0,34.096799999999995
Keldon Johnson,"G,F,Flx",2.0,33.65846956521739
Kyle Kuzma,"F,Flx",5.0,33.581634782608695
